year,week_number,count_type,subtotal_sum,parish_sum,difference,absolute_difference,arithmetic_error,legible_only,legible
1642,47,plague,37,38,-1,1,True,False,False
1642,48,buried,303,303,0,0,False,False,True
1642,48,plague,46,46,0,0,False,False,True
1642,49,buried,256,256,0,0,False,False,False
1642,49,plague,13,13,0,0,False,False,False
1642,50,buried,250,250,0,0,False,False,True
1642,50,plague,19,19,0,0,False,False,True
1642,51,buried,250,250,0,0,False,False,True
1642,51,plague,18,18,0,0,False,False,True
1642,52,buried,247,247,0,0,False,False,True
1642,52,plague,12,12,0,0,False,False,True
1643,42,buried,354,353,1,1,True,False,False
1643,42,plague,73,73,0,0,False,False,False
1644,1,buried,173,168,5,5,True,False,True
1644,1,plague,4,4,0,0,False,False,True
1644,2,buried,174,174,0,0,False,False,True
1644,2,plague,8,8,0,0,False,False,True
1644,15,buried,158,158,0,0,False,False,False
1644,15,plague,5,5,0,0,False,False,False
1644,16,buried,170,170,0,0,False,False,True
1644,16,plague,8,8,0,0,False,False,True
1644,17,buried,189,189,0,0,False,False,True
1644,17,plague,17,17,0,0,False,False,True
1644,18,buried,158,160,-2,2,True,False,True
1644,18,plague,17,17,0,0,False,False,True
1644,19,buried,175,175,0,0,False,False,True
1644,19,plague,17,17,0,0,False,False,True
1644,20,buried,183,178,5,5,True,False,True
1644,20,plague,17,17,0,0,False,False,True
1644,21,buried,191,191,0,0,False,False,True
1644,21,plague,14,14,0,0,False,False,True
1644,22,buried,211,200,11,11,True,False,True
1644,22,plague,27,27,0,0,False,False,True
1644,23,buried,224,224,0,0,False,False,True
1644,23,plague,40,35,5,5,True,False,True
1644,24,buried,198,199,-1,1,True,False,True
1644,24,plague,34,29,5,5,True,False,True
1644,25,buried,155,155,0,0,False,False,False
1644,25,plague,24,24,0,0,False,False,False
1644,26,buried,163,163,0,0,False,False,True
1644,26,plague,20,20,0,0,False,False,True
1644,27,buried,207,207,0,0,False,False,True
1644,27,plague,20,20,0,0,False,False,True
1644,28,buried,225,225,0,0,False,False,True
1644,28,plague,29,29,0,0,False,False,True
1644,29,buried,222,222,0,0,False,False,True
1644,29,plague,17,17,0,0,False,False,True
1644,30,buried,182,182,0,0,False,False,True
1644,30,plague,32,32,0,0,False,False,True
1644,31,buried,198,198,0,0,False,False,True
1644,31,plague,40,40,0,0,False,False,True
1644,32,buried,204,204,0,0,False,False,True
1644,32,plague,44,44,0,0,False,False,True
1644,33,buried,274,274,0,0,False,False,True
1644,33,plague,61,61,0,0,False,False,True
1644,34,buried,215,215,0,0,False,False,True
1644,34,plague,48,48,0,0,False,False,True
1644,35,buried,255,255,0,0,False,False,True
1644,35,plague,58,58,0,0,False,False,True
1644,36,buried,219,219,0,0,False,False,True
1644,36,plague,67,67,0,0,False,False,True
1644,37,buried,237,237,0,0,False,False,True
1644,37,plague,67,66,1,1,True,False,True
1644,38,buried,266,256,10,10,True,False,True
1644,38,plague,85,85,0,0,False,False,True
1644,39,buried,259,254,5,5,True,False,True
1644,39,plague,85,85,0,0,False,False,True
1644,40,buried,231,231,0,0,False,False,True
1644,40,plague,66,66,0,0,False,False,True
1644,41,buried,244,244,0,0,False,False,True
1644,41,plague,76,76,0,0,False,False,True
1644,43,buried,231,231,0,0,False,False,True
1644,43,plague,58,58,0,0,False,False,True
1644,44,buried,225,225,0,0,False,False,False
1644,44,plague,36,36,0,0,False,False,False
1644,45,buried,266,265,1,1,True,False,True
1644,45,plague,18,18,0,0,False,False,True
1644,46,buried,227,228,-1,1,True,False,True
1644,46,plague,23,23,0,0,False,False,True
1644,47,buried,246,246,0,0,False,False,True
1644,47,plague,25,25,0,0,False,False,True
1644,48,buried,200,200,0,0,False,False,True
1644,48,plague,15,15,0,0,False,False,True
1644,49,buried,164,164,0,0,False,False,True
1644,49,plague,4,4,0,0,False,False,True
1644,50,buried,186,186,0,0,False,False,False
1644,50,plague,15,15,0,0,False,False,False
1644,51,buried,182,182,0,0,False,False,True
1644,51,plague,11,11,0,0,False,False,True
