parish_name,count,week_id,year_id
Christened in the 16 Parishes without the Walls,83,1669-1670-10,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,109,1669-1670-10,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,61,1669-1670-10,1669
Christened in the 97 Parishes within the Walls,20,1669-1670-11,1669
Christened in the 16 Parishes without the Walls,103,1669-1670-11,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,101,1669-1670-11,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,76,1669-1670-11,1669
Christened in the 97 Parishes within the Walls,20,1669-1670-12,1669
Christened in the 16 Parishes without the Walls,109,1669-1670-12,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,93,1669-1670-12,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,60,1669-1670-12,1669
Christened in the 97 Parishes within the Walls,11,1669-1670-13,1669
Christened in the 16 Parishes without the Walls,87,1669-1670-13,1669
Christened in the 13 out-Parishes in Middlesex and Surrey,83,1669-1670-13,1669
Christened in the 5 Parishes in the City and Liberties of Westminster,59,1669-1670-13,1669
Christened in the 97 Parishes within the Walls,19,1670-1671-14,1670
Christened in the 16 Parishes without the Walls,88,1670-1671-14,1670
Christened in the 13 out-Parishes in Middlesex and Surrey,93,1670-1671-14,1670
Christened in the 5 Parishes in the City and Liberties of Westminster,51,1670-1671-14,1670
Christened in the 97 Parishes within the Walls,20,1670-1671-15,1670
Christened in the 16 Parishes without the Walls,75,1670-1671-15,1670
Christened in the 13 out-Parishes in Middlesex and Surrey,77,1670-1671-15,1670
Christened in the 5 Parishes in the City and Liberties of Westminster,39,1670-1671-15,1670
