week,unique_identifier,start_day,start_month,end_day,end_month,parish_name,count_type,count,year
21,1669-21-recto,11,May,18,May,St Mary Woolchurch,Buried,,1669
21,1669-21-recto,11,May,18,May,St Mary Woolchurch,Plague,,1669
21,1669-21-recto,11,May,18,May,St Mary Woolnoth,Buried,,1669
21,1669-21-recto,11,May,18,May,St Mary Woolnoth,Plague,,1669
21,1669-21-recto,11,May,18,May,St Martin Iremongerlane,Buried,,1669
21,1669-21-recto,11,May,18,May,St Martin Iremongerlane,Plague,,1669
21,1669-21-recto,11,May,18,May,St Martin Ludgate,Buried,1,1669
21,1669-21-recto,11,May,18,May,St Martin Ludgate,Plague,,1669
21,1669-21-recto,11,May,18,May,St Martin Orgars,Buried,,1669
21,1669-21-recto,11,May,18,May,St Martin Orgars,Plague,,1669
21,1669-21-recto,11,May,18,May,St Martin Outwich,Buried,,1669
21,1669-21-recto,11,May,18,May,St Martin Outwich,Plague,,1669
21,1669-21-recto,11,May,18,May,St Martin Vintrey,Buried,,1669
21,1669-21-recto,11,May,18,May,St Martin Vintrey,Plague,,1669
21,1669-21-recto,11,May,18,May,St Matthew Fridaystreet,Buried,,1669
21,1669-21-recto,11,May,18,May,St Matthew Fridaystreet,Plague,,1669
21,1669-21-recto,11,May,18,May,St Maudlin Milkstreet,Buried,,1669
21,1669-21-recto,11,May,18,May,St Maudlin Milkstreet,Plague,,1669
21,1669-21-recto,11,May,18,May,St Maudlin Oldfishstreet,Buried,,1669
21,1669-21-recto,11,May,18,May,St Maudlin Oldfishstreet,Plague,,1669
21,1669-21-recto,11,May,18,May,St Michael Bassishaw,Buried,,1669
21,1669-21-recto,11,May,18,May,St Michael Bassishaw,Plague,,1669
21,1669-21-recto,11,May,18,May,St Michael Cornhil,Buried,1,1669
21,1669-21-recto,11,May,18,May,St Michael Cornhil,Plague,,1669
21,1669-21-recto,11,May,18,May,St Michael Crookedlane,Buried,,1669
21,1669-21-recto,11,May,18,May,St Michael Crookedlane,Plague,,1669
21,1669-21-recto,11,May,18,May,St Michael Queenhithe,Buried,,1669
21,1669-21-recto,11,May,18,May,St Michael Queenhithe,Plague,,1669
21,1669-21-recto,11,May,18,May,St Michael Quern,Buried,,1669
21,1669-21-recto,11,May,18,May,St Michael Quern,Plague,,1669
21,1669-21-recto,11,May,18,May,St Michael Royal,Buried,,1669
21,1669-21-recto,11,May,18,May,St Michael Royal,Plague,,1669
21,1669-21-recto,11,May,18,May,St Michael Woodstreet,Buried,,1669
21,1669-21-recto,11,May,18,May,St Michael Woodstreet,Plague,,1669
21,1669-21-recto,11,May,18,May,St Mildred Breadstreet,Buried,,1669
21,1669-21-recto,11,May,18,May,St Mildred Breadstreet,Plague,,1669
21,1669-21-recto,11,May,18,May,St Mildred Poultrey,Buried,,1669
21,1669-21-recto,11,May,18,May,St Mildred Poultrey,Plague,,1669
21,1669-21-recto,11,May,18,May,St Nicholas Acons,Buried,,1669
21,1669-21-recto,11,May,18,May,St Nicholas Acons,Plague,,1669
21,1669-21-recto,11,May,18,May,St Nicholas Coleabby,Buried,,1669
21,1669-21-recto,11,May,18,May,St Nicholas Coleabby,Plague,,1669
21,1669-21-recto,11,May,18,May,St Nicholas Olaves,Buried,,1669
21,1669-21-recto,11,May,18,May,St Nicholas Olaves,Plague,,1669
21,1669-21-recto,11,May,18,May,St Olave Hartstreet,Buried,1,1669
21,1669-21-recto,11,May,18,May,St Olave Hartstreet,Plague,,1669
21,1669-21-recto,11,May,18,May,St Olave Jewry,Buried,,1669
21,1669-21-recto,11,May,18,May,St Olave Jewry,Plague,,1669
21,1669-21-recto,11,May,18,May,St Olave Silverstreet,Buried,,1669
21,1669-21-recto,11,May,18,May,St Olave Silverstreet,Plague,,1669
21,1669-21-recto,11,May,18,May,St Pancras Soperlane,Buried,,1669
21,1669-21-recto,11,May,18,May,St Pancras Soperlane,Plague,,1669
21,1669-21-recto,11,May,18,May,St Peter Cheap,Buried,,1669
21,1669-21-recto,11,May,18,May,St Peter Cheap,Plague,,1669
21,1669-21-recto,11,May,18,May,St Peter Cornhil,Buried,2,1669
21,1669-21-recto,11,May,18,May,St Peter Cornhil,Plague,,1669
21,1669-21-recto,11,May,18,May,St Peter Paulswharf,Buried,,1669
21,1669-21-recto,11,May,18,May,St Peter Paulswharf,Plague,,1669
21,1669-21-recto,11,May,18,May,St Peter Poor,Buried,,1669
21,1669-21-recto,11,May,18,May,St Peter Poor,Plague,,1669
21,1669-21-recto,11,May,18,May,St Steven Colemanstreet,Buried,1,1669
21,1669-21-recto,11,May,18,May,St Steven Colemanstreet,Plague,,1669
21,1669-21-recto,11,May,18,May,St Steven Walbrook,Buried,,1669
21,1669-21-recto,11,May,18,May,St Steven Walbrook,Plague,,1669
21,1669-21-recto,11,May,18,May,St Swithin,Buried,,1669
21,1669-21-recto,11,May,18,May,St Swithin,Plague,,1669
21,1669-21-recto,11,May,18,May,St Thomas Apostles,Buried,,1669
21,1669-21-recto,11,May,18,May,St Thomas Apostles,Plague,,1669
21,1669-21-recto,11,May,18,May,Trinity Parish,Buried,,1669
21,1669-21-recto,11,May,18,May,Trinity Parish,Plague,,1669
21,1669-21-recto,11,May,18,May,Christened in the 97 Parishes within the Walls,,11,1669
21,1669-21-recto,11,May,18,May,Buried in the 97 Parishes within the Walls,,22,1669
21,1669-21-recto,11,May,18,May,Plague in the 97 Parishes within the Walls,,0,1669
21,1669-21-recto,11,May,18,May,St Andrew Holborn,Buried,11,1669
21,1669-21-recto,11,May,18,May,St Andrew Holborn,Plague,,1669
21,1669-21-recto,11,May,18,May,St Bartholomew Great,Buried,3,1669
21,1669-21-recto,11,May,18,May,St Bartholomew Great,Plague,,1669
21,1669-21-recto,11,May,18,May,St Bartholomew Less,Buried,,1669
21,1669-21-recto,11,May,18,May,St Bartholomew Less,Plague,,1669
21,1669-21-recto,11,May,18,May,St Bridget,Buried,3,1669
21,1669-21-recto,11,May,18,May,St Bridget,Plague,,1669
21,1669-21-recto,11,May,18,May,Bridewel Precinct,Buried,,1669
21,1669-21-recto,11,May,18,May,Bridewel Precinct,Plague,,1669
21,1669-21-recto,11,May,18,May,St Botolph Aldersgate,Buried,5,1669
21,1669-21-recto,11,May,18,May,St Botolph Aldersgate,Plague,,1669
21,1669-21-recto,11,May,18,May,St Botolph Aldgate,Buried,9,1669
21,1669-21-recto,11,May,18,May,St Botolph Aldgate,Plague,,1669
