count_type,count,bill_type,parish_id,id.x,week_id,year_range,year_id,split_year,id.y,id
Plague,,Weekly,59,1,1668-1669-21,1668-1669,1669,1668/1669,72,38
Plague,,Weekly,60,1,1668-1669-21,1668-1669,1669,1668/1669,72,39
Plague,,Weekly,61,1,1668-1669-21,1668-1669,1669,1668/1669,72,40
Plague,,Weekly,63,1,1668-1669-21,1668-1669,1669,1668/1669,72,41
Plague,,Weekly,64,1,1668-1669-21,1668-1669,1669,1668/1669,72,42
Plague,,Weekly,65,1,1668-1669-21,1668-1669,1669,1668/1669,72,43
Plague,,Weekly,67,1,1668-1669-21,1668-1669,1669,1668/1669,72,44
Plague,,Weekly,68,1,1668-1669-21,1668-1669,1669,1668/1669,72,45
Plague,,Weekly,69,1,1668-1669-21,1668-1669,1669,1668/1669,72,46
Plague,,Weekly,70,1,1668-1669-21,1668-1669,1669,1668/1669,72,47
Plague,,Weekly,73,1,1668-1669-21,1668-1669,1669,1668/1669,72,48
Plague,,Weekly,74,1,1668-1669-21,1668-1669,1669,1668/1669,72,49
Plague,,Weekly,75,1,1668-1669-21,1668-1669,1669,1668/1669,72,50
Plague,,Weekly,76,1,1668-1669-21,1668-1669,1669,1668/1669,72,51
Plague,,Weekly,77,1,1668-1669-21,1668-1669,1669,1668/1669,72,52
Plague,,Weekly,85,1,1668-1669-21,1668-1669,1669,1668/1669,72,53
Plague,,Weekly,86,1,1668-1669-21,1668-1669,1669,1668/1669,72,54
Plague,,Weekly,87,1,1668-1669-21,1668-1669,1669,1668/1669,72,55
Plague,,Weekly,92,1,1668-1669-21,1668-1669,1669,1668/1669,72,56
Plague,,Weekly,88,1,1668-1669-21,1668-1669,1669,1668/1669,72,57
Plague,,Weekly,89,1,1668-1669-21,1668-1669,1669,1668/1669,72,58
Plague,,Weekly,90,1,1668-1669-21,1668-1669,1669,1668/1669,72,59
Plague,,Weekly,94,1,1668-1669-21,1668-1669,1669,1668/1669,72,60
Plague,,Weekly,97,1,1668-1669-21,1668-1669,1669,1668/1669,72,61
Plague,,Weekly,98,1,1668-1669-21,1668-1669,1669,1668/1669,72,62
Plague,,Weekly,100,1,1668-1669-21,1668-1669,1669,1668/1669,72,63
Plague,,Weekly,101,1,1668-1669-21,1668-1669,1669,1668/1669,72,64
Plague,,Weekly,80,1,1668-1669-21,1668-1669,1669,1668/1669,72,65
Plague,,Weekly,81,1,1668-1669-21,1668-1669,1669,1668/1669,72,66
Plague,,Weekly,82,1,1668-1669-21,1668-1669,1669,1668/1669,72,67
Plague,,Weekly,83,1,1668-1669-21,1668-1669,1669,1668/1669,72,68
Plague,,Weekly,84,1,1668-1669-21,1668-1669,1669,1668/1669,72,69
Plague,,Weekly,102,1,1668-1669-21,1668-1669,1669,1668/1669,72,70
Plague,,Weekly,103,1,1668-1669-21,1668-1669,1669,1668/1669,72,71
Plague,,Weekly,104,1,1668-1669-21,1668-1669,1669,1668/1669,72,72
Plague,,Weekly,105,1,1668-1669-21,1668-1669,1669,1668/1669,72,73
Plague,,Weekly,106,1,1668-1669-21,1668-1669,1669,1668/1669,72,74
Plague,,Weekly,107,1,1668-1669-21,1668-1669,1669,1668/1669,72,75
Plague,,Weekly,108,1,1668-1669-21,1668-1669,1669,1668/1669,72,76
Plague,,Weekly,109,1,1668-1669-21,1668-1669,1669,1668/1669,72,77
Plague,,Weekly,110,1,1668-1669-21,1668-1669,1669,1668/1669,72,78
Plague,,Weekly,111,1,1668-1669-21,1668-1669,1669,1668/1669,72,79
Plague,,Weekly,112,1,1668-1669-21,1668-1669,1669,1668/1669,72,80
Plague,,Weekly,113,1,1668-1669-21,1668-1669,1669,1668/1669,72,81
Plague,,Weekly,114,1,1668-1669-21,1668-1669,1669,1668/1669,72,82
Plague,,Weekly,115,1,1668-1669-21,1668-1669,1669,1668/1669,72,83
Plague,,Weekly,116,1,1668-1669-21,1668-1669,1669,1668/1669,72,84
Plague,,Weekly,117,1,1668-1669-21,1668-1669,1669,1668/1669,72,85
Plague,,Weekly,118,1,1668-1669-21,1668-1669,1669,1668/1669,72,86
Plague,,Weekly,119,1,1668-1669-21,1668-1669,1669,1668/1669,72,87
Plague,,Weekly,121,1,1668-1669-21,1668-1669,1669,1668/1669,72,88
Plague,,Weekly,124,1,1668-1669-21,1668-1669,1669,1668/1669,72,89
Plague,,Weekly,125,1,1668-1669-21,1668-1669,1669,1668/1669,72,90
Plague,,Weekly,126,1,1668-1669-21,1668-1669,1669,1668/1669,72,91
Plague,,Weekly,127,1,1668-1669-21,1668-1669,1669,1668/1669,72,92
Plague,,Weekly,128,1,1668-1669-21,1668-1669,1669,1668/1669,72,93
Plague,,Weekly,129,1,1668-1669-21,1668-1669,1669,1668/1669,72,94
Plague,,Weekly,130,1,1668-1669-21,1668-1669,1669,1668/1669,72,95
Plague,,Weekly,131,1,1668-1669-21,1668-1669,1669,1668/1669,72,96
Plague,,Weekly,136,1,1668-1669-21,1668-1669,1669,1668/1669,72,97
Plague,,Weekly,20,1,1668-1669-21,1668-1669,1669,1668/1669,72,98
Plague,,Weekly,29,1,1668-1669-21,1668-1669,1669,1668/1669,72,99
