count_type,count,bill_type,parish_id,id,week_id,year_range,year_id,split_year
Plague,,Weekly,114,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,115,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,115,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,116,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,116,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,118,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,118,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,121,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,121,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,2,Weekly,122,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,122,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,123,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,123,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,124,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,124,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,1,Weekly,125,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,125,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,126,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,126,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,127,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,127,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,128,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,128,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,132,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,132,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,11,Weekly,19,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,19,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,3,Weekly,28,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,28,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,29,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,29,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,3,Weekly,38,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,38,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,10,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,10,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,5,Weekly,34,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,34,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,9,Weekly,35,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,35,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,5,Weekly,37,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,37,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,3,Weekly,44,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,44,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,3,Weekly,51,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,51,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,24,Weekly,52,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,52,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,6,Weekly,117,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,117,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,15,Weekly,16,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,16,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,7,Weekly,15,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,15,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,129,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,129,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,1,Weekly,131,1,1668-1669-21,1668-1669,1669,1668/1669
Plague,,Weekly,131,1,1668-1669-21,1668-1669,1669,1668/1669
Buried,,Weekly,9,1,1668-1669-21,1668-1669,1669,1668/1669
