count,count_type,bill_type,parish_id,year,week_id,year_range,split_year
0,Total,General,4,1682,1681-1682-90,1681-1682,1681/1682
22,Total,General,5,1682,1681-1682-90,1681-1682,1681/1682
24,Total,General,6,1682,1681-1682-90,1681-1682,1681/1682
28,Total,General,7,1682,1681-1682-90,1681-1682,1681/1682
71,Total,General,8,1682,1681-1682-90,1681-1682,1681/1682
27,Total,General,23,1682,1681-1682-90,1681-1682,1681/1682
16,Total,General,25,1682,1681-1682-90,1681-1682,1681/1682
39,Total,General,26,1682,1681-1682-90,1681-1682,1681/1682
47,Total,General,27,1682,1681-1682-90,1681-1682,1681/1682
58,Total,General,28,1682,1681-1682-90,1681-1682,1681/1682
102,Total,General,29,1682,1681-1682-90,1681-1682,1681/1682
29,Total,General,31,1682,1681-1682-90,1681-1682,1681/1682
13,Total,General,32,1682,1681-1682-90,1681-1682,1681/1682
17,Total,General,33,1682,1681-1682-90,1681-1682,1681/1682
24,Total,General,36,1682,1681-1682-90,1681-1682,1681/1682
15,Total,General,37,1682,1681-1682-90,1681-1682,1681/1682
46,Total,General,38,1682,1681-1682-90,1681-1682,1681/1682
2,Total,General,39,1682,1681-1682-90,1681-1682,1681/1682
9,Total,General,42,1682,1681-1682-90,1681-1682,1681/1682
85,Total,General,10,1682,1681-1682-90,1681-1682,1681/1682
15,Total,General,45,1682,1681-1682-90,1681-1682,1681/1682
24,Total,General,47,1682,1681-1682-90,1681-1682,1681/1682
39,Total,General,48,1682,1681-1682-90,1681-1682,1681/1682
85,Total,General,49,1682,1681-1682-90,1681-1682,1681/1682
30,Total,General,51,1682,1681-1682-90,1681-1682,1681/1682
15,Total,General,52,1682,1681-1682-90,1681-1682,1681/1682
39,Total,General,53,1682,1681-1682-90,1681-1682,1681/1682
30,Total,General,54,1682,1681-1682-90,1681-1682,1681/1682
18,Total,General,55,1682,1681-1682-90,1681-1682,1681/1682
11,Total,General,56,1682,1681-1682-90,1681-1682,1681/1682
82,Total,General,62,1682,1681-1682-90,1681-1682,1681/1682
30,Total,General,63,1682,1681-1682-90,1681-1682,1681/1682
22,Total,General,65,1682,1681-1682-90,1681-1682,1681/1682
