year,week_number,unique_identifier,start_day,start_month,end_day,end_month,christening,count
1670,21,1670-21-verso,10,May,17,May,Christened (Female),109
1670,21,1670-21-verso,10,May,17,May,Christened (In All),215
1670,22,1670-22-verso,17,May,24,May,Christened (Male),94
1670,22,1670-22-verso,17,May,24,May,Christened (Female),94
1670,22,1670-22-verso,17,May,24,May,Christened (In All),188
1670,23,1670-23-verso,24,May,31,May,Christened (Male),112
1670,23,1670-23-verso,24,May,31,May,Christened (Female),108
1670,23,1670-23-verso,24,May,31,May,Christened (In All),220
1670,24,1670-24-verso,31,May,7,June,Christened (Male),115
1670,24,1670-24-verso,31,May,7,June,Christened (Female),107
1670,24,1670-24-verso,31,May,7,June,Christened (In All),222
1670,28,1670-28-verso,28,June,5,July,Christened (Male),91
1670,28,1670-28-verso,28,June,5,July,Christened (Female),95
1670,28,1670-28-verso,28,June,5,July,Christened (In All),186
1679,30,1670-30-verso,12,July,19,July,Christened (Male),107
1679,30,1670-30-verso,12,July,19,July,Christened (Female),113
1679,30,1670-30-verso,12,July,19,July,Christened (In All),220
1670,31,1670-31-verso,19,July,26,July,Christened (Male),112
1670,31,1670-31-verso,19,July,26,July,Christened (Female),100
1670,31,1670-31-verso,19,July,26,July,Christened (In All),312
1670,32,1670-32-verso,26,July,2,August,Christened (Male),135
1670,32,1670-32-verso,26,July,2,August,Christened (Female),120
1670,32,1670-32-verso,26,July,2,August,Christened (In All),255
1670,33,1670-33-verso,2,August,9,August,Christened (Male),118
1670,33,1670-33-verso,2,August,9,August,Christened (Female),99
1670,33,1670-33-verso,2,August,9,August,Christened (In All),287
1701,14,Laxton-1701-14-verso,18,March,25,March,Christened (Male),165
1701,14,Laxton-1701-14-verso,18,March,25,March,Christened (Female),145
1701,14,Laxton-1701-14-verso,18,March,25,March,Christened (In All),310
1701,15,Laxton-1701-15-verso,25,March,1,April,Christened (Male),164
1701,15,Laxton-1701-15-verso,25,March,1,April,Christened (Female),151
1701,15,Laxton-1701-15-verso,25,March,1,April,Christened (In All),315
1701,16,Laxton-1701-16-verso,1,April,8,April,Christened (Male),149
1701,16,Laxton-1701-16-verso,1,April,8,April,Christened (Female),157
1701,16,Laxton-1701-16-verso,1,April,8,April,Christened (In All),306
1701,17,Laxton-1701-17-verso,8,April,15,April,Christened (Male),143
1701,17,Laxton-1701-17-verso,8,April,15,April,Christened (Female),114
1701,17,Laxton-1701-17-verso,8,April,15,April,Christened (In All),257
1701,18,Laxton-1701-18-verso,15,April,22,April,Christened (Male),149
1701,18,Laxton-1701-18-verso,15,April,22,April,Christened (Female),152
1701,18,Laxton-1701-18-verso,15,April,22,April,Christened (In All),301
1701,19,Laxton-1701-19-verso,22,April,29,April,Christened (Male),161
1701,19,Laxton-1701-19-verso,22,April,29,April,Christened (Female),139
1701,19,Laxton-1701-19-verso,22,April,29,April,Christened (In All),300
1701,20,Laxton-1701-20-verso,29,April,6,May,Christened (Male),141
1701,20,Laxton-1701-20-verso,29,April,6,May,Christened (Female),117
1701,20,Laxton-1701-20-verso,29,April,6,May,Christened (In All),258
1701,21,Laxton-1701-21-verso,6,May,13,May,Christened (Male),167
1701,21,Laxton-1701-21-verso,6,May,13,May,Christened (Female),139
1701,21,Laxton-1701-21-verso,6,May,13,May,Christened (In All),306
1701,22,Laxton-1701-22-verso,13,May,20,May,Christened (Male),143
1701,22,Laxton-1701-22-verso,13,May,20,May,Christened (Female),128
1701,22,Laxton-1701-22-verso,13,May,20,May,Christened (In All),271
1701,23,Laxton-1701-23-verso,20,May,27,May,Christened (Male),157
1701,23,Laxton-1701-23-verso,20,May,27,May,Christened (Female),152
1701,23,Laxton-1701-23-verso,20,May,27,May,Christened (In All),309
1701,24,Laxton-1701-24-verso,27,May,3,June,Christened (Male),141
1701,24,Laxton-1701-24-verso,27,May,3,June,Christened (Female),152
1701,24,Laxton-1701-24-verso,27,May,3,June,Christened (In All),293
1701,25,Laxton-1701-25-verso,3,June,10,June,Christened (Male),136
1701,25,Laxton-1701-25-verso,3,June,10,June,Christened (Female),132
1701,25,Laxton-1701-25-verso,3,June,10,June,Christened (In All),268
1701,26,Laxton-1701-26-verso,10,June,17,June,Christened (Male),162
1701,26,Laxton-1701-26-verso,10,June,17,June,Christened (Female),130
1701,26,Laxton-1701-26-verso,10,June,17,June,Christened (In All),292
1701,27,Laxton-1701-27-verso,17,June,24,June,Christened (Male),150
1701,27,Laxton-1701-27-verso,17,June,24,June,Christened (Female),120
1701,27,Laxton-1701-27-verso,17,June,24,June,Christened (In All),270
1701,28,Laxton-1701-28-verso,24,June,1,July,Christened (Male),158
1701,28,Laxton-1701-28-verso,24,June,1,July,Christened (Female),136
1701,28,Laxton-1701-28-verso,24,June,1,July,Christened (In All),294
1701,29,Laxton-1701-29-verso,1,July,7,July,Christened (Male),167
1701,29,Laxton-1701-29-verso,1,July,7,July,Christened (Female),119
1701,29,Laxton-1701-29-verso,1,July,7,July,Christened (In All),286
1701,30,Laxton-1701-30-verso,8,July,15,July,Christened (Male),124
1701,30,Laxton-1701-30-verso,8,July,15,July,Christened (Female),118
1701,30,Laxton-1701-30-verso,8,July,15,July,Christened (In All),242
1701,31,Laxton-1701-31-verso,15,July,22,July,Christened (Male),140
1701,31,Laxton-1701-31-verso,15,July,22,July,Christened (Female),134
1701,31,Laxton-1701-31-verso,15,July,22,July,Christened (In All),274
1701,32,Laxton-1701-32-verso,22,July,29,July,Christened (Male),160
1701,32,Laxton-1701-32-verso,22,July,29,July,Christened (Female),148
1701,32,Laxton-1701-32-verso,22,July,29,July,Christened (In All),308
1701,33,Laxton-1701-33-verso,29,July,5,August,Christened (Male),160
1701,33,Laxton-1701-33-verso,29,July,5,August,Christened (Female),149
1701,33,Laxton-1701-33-verso,29,July,5,August,Christened (In All),309
1701,34,Laxton-1701-34-verso,5,August,12,August,Christened (Male),158
1701,34,Laxton-1701-34-verso,5,August,12,August,Christened (Female),154
1701,34,Laxton-1701-34-verso,5,August,12,August,Christened (In All),312
1701,35,Laxton-1701-35-verso,12,August,19,August,Christened (Male),151
1701,35,Laxton-1701-35-verso,12,August,19,August,Christened (Female),177
1701,35,Laxton-1701-35-verso,12,August,19,August,Christened (In All),328
1701,36,Laxton-1701-36-verso,19,August,26,August,Christened (Male),126
1701,36,Laxton-1701-36-verso,19,August,26,August,Christened (Female),116
1701,36,Laxton-1701-36-verso,19,August,26,August,Christened (In All),242
1701,37,Laxton-1701-37-verso,26,August,2,September,Christened (Male),138
1701,37,Laxton-1701-37-verso,26,August,2,September,Christened (Female),142
1701,37,Laxton-1701-37-verso,26,August,2,September,Christened (In All),280
