year,count_type,all_mean_absolute_difference,all_comparable_weeks,legible_mean_absolute_difference,legible_comparable_weeks,total_weeks,illegible_weeks,legible_weeks,percent_legible,fully_legible
1654,buried,0.08695652173913043,46,0.08695652173913043,46,46,0,46,100.0,True
1654,plague,0.0,46,0.0,46,46,0,46,100.0,True
1655,buried,1.1951219512195121,41,0.9375,32,41,9,32,78.04878048780488,False
1655,plague,0.0,41,0.0,32,41,9,32,78.04878048780488,False
1657,buried,5.714285714285714,42,0.25,24,43,18,25,58.13953488372093,False
1657,plague,0.0,42,0.0,24,43,18,25,58.13953488372093,False
1659,buried,0.6444444444444445,45,0.6666666666666666,42,45,3,42,93.33333333333333,False
1659,plague,0.0,45,0.0,42,45,3,42,93.33333333333333,False
1660,buried,0.851063829787234,47,0.8888888888888888,45,47,2,45,95.74468085106383,False
1660,plague,0.0,47,0.0,45,47,2,45,95.74468085106383,False
1662,buried,0.8125,32,0.9166666666666666,24,32,8,24,75.0,False
1662,plague,0.0,32,0.0,24,32,8,24,75.0,False
1663,buried,0.9423076923076923,52,0.6470588235294118,34,52,18,34,65.38461538461539,False
1663,plague,0.0,52,0.0,34,52,18,34,65.38461538461539,False
1664,buried,1.3846153846153846,52,0.28205128205128205,39,52,13,39,75.0,False
1664,plague,0.0,52,0.0,39,52,13,39,75.0,False
1665,buried,10.25,48,1.78125,32,48,16,32,66.66666666666667,False
1665,plague,27.770833333333332,48,0.03125,32,48,16,32,66.66666666666667,False
1666,buried,1.16,50,1.255813953488372,43,51,7,44,86.27450980392157,False
1666,plague,0.0,50,0.0,43,51,7,44,86.27450980392157,False
1667,buried,0.46808510638297873,47,0.46808510638297873,47,48,0,48,100.0,True
1667,plague,0.0,47,0.0,47,48,0,48,100.0,True
1668,buried,0.19607843137254902,51,0.19607843137254902,51,51,0,51,100.0,True
1668,plague,0.0,51,0.0,51,51,0,51,100.0,True
1669,buried,52.28846153846154,52,53.833333333333336,42,52,10,42,80.76923076923077,False
1669,plague,0.0,52,0.0,42,52,10,42,80.76923076923077,False
1670,buried,7.9423076923076925,52,5.545454545454546,44,52,8,44,84.61538461538461,False
1670,plague,0.0,52,0.0,44,52,8,44,84.61538461538461,False
1671,buried,0.09803921568627451,51,0.09803921568627451,51,51,0,51,100.0,True
1671,plague,0.0,51,0.0,51,51,0,51,100.0,True
1672,buried,0.3269230769230769,52,0.3269230769230769,52,53,0,53,100.0,True
1672,plague,0.0,52,0.0,52,53,0,53,100.0,True
