"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,is_missing,is_illegible,Week,is_missing,is_illegible,"Unique Identifier",is_missing,is_illegible,"Start day",is_missing,is_illegible,"Start month",is_missing,is_illegible,"End day",is_missing,is_illegible,"End month",is_missing,is_illegible,"Penny Loaf Troy Weight - White",is_missing,is_illegible,"Penny Loaf Troy Weight - Wheaten",is_missing,is_illegible,"Penny Loaf Troy Weight - Household",is_missing,is_illegible,"Penny Loaf Common Weight - White",is_missing,is_illegible,"Penny Loaf Common Weight - Wheaten",is_missing,is_illegible,"Penny Loaf Common Weight - Household",is_missing,is_illegible,"Two Penny Loaf Common Weight - White",is_missing,is_illegible,"Two Penny Loaf Common Weight - Wheaten",is_missing,is_illegible,"Two Penny Loaf Common Weight - Household",is_missing,is_illegible,"Six Penny Loaf Common Weight - Wheaten",is_missing,is_illegible,"Six Penny Loaf Common Weight - Household",is_missing,is_illegible,"Twelve Penny Loaf Common Weight - Wheaten",is_missing,is_illegible,"Twelve Penny Loaf Common Weight - Household",is_missing,is_illegible,"Eighteen Penny Loaf Common Weight - Wheaten",is_missing,is_illegible,"Eighteen Penny Loaf Common Weight - Household",is_missing,is_illegible,"Quartern Loaf Common Weight - Wheaten",is_missing,is_illegible,"Quartern Loaf Common Weight - Household",is_missing,is_illegible,"Half Peck Loaf Common Weight - Wheaten",is_missing,is_illegible,"Half Peck Loaf Common Weight - Household",is_missing,is_illegible,"Peck Loaf Common Weight - Wheaten",is_missing,is_illegible,"Peck Loaf Common Weight - Household",is_missing,is_illegible,Salt,is_missing,is_illegible
709,39592,12013,1,1700,,,11,,,Laxton-1700-11-verso,,,25,,,February,,,4,,,March,,,07;14,,,11;10,,,15;07,,,08;07,,,12;10,,,16;14,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,"56 l. to the Bushel 5 s.",,
710,39593,12014,1,1700,,,12,,,Laxton-1700-12-verso,,,4,,,March,,,11,,,March,,,07;14,,,11;10,,,15;07,,,08;07,,,12;10,,,16;14,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,"56 l. to the Bushel 5 s.",,
711,39594,12015,1,1700,,,13,,,Laxton-1700-13-verso,,,11,,,March,,,18,,,March,,,07;14,,,11;10,,,15;07,,,08;07,,,12;10,,,16;14,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,"56 l. to the Bushel 5 s.",,
831,39595,12016,1,1701,,,1,,,Laxton-1701-01-verso,,,16,,,December,,,23,,,December,,,09;01,,,13;10,,,17;19,,,09;14,,,14;13,,,19;11,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,"56 l. to the Bushel 5 s.",,
832,39596,12017,1,1701,,,2,,,Laxton-1701-02-verso,,,23,,,December,,,30,,,December,,,09;01,,,13;10,,,17;19,,,09;14,,,14;13,,,19;11,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,"56 l. to the Bushel 5 s.",,
833,39597,12018,1,1701,,,3,,,Laxton-1701-03-verso,,,30,,,December,,,6,,,January,,,09;01,,,13;10,,,17;19,,,09;14,,,14;13,,,19;11,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,"56 l. to the Bushel 5 s.",,
834,39598,12019,1,1701,,,4,,,Laxton-1701-04-verso,,,6,,,January,,,13,,,January,,,09;01,,,13;10,,,17;19,,,09;14,,,14;13,,,19;11,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,"56 l. to the Bushel 5 s.",,
835,39599,12020,1,1701,,,5,,,Laxton-1701-05-verso,,,13,,,January,,,20,,,January,,,08;13,,,13;00,,,17;06,,,09;08,,,14;04,,,19;00,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,"56 l. to the Bushel 5 s.",,
836,39600,12021,1,1701,,,6,,,Laxton-1701-06-verso,,,20,,,January,,,27,,,January,,,08;13,,,13;00,,,17;06,,,09;08,,,14;04,,,19;00,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,"56 l. to the Bushel 7 s.",,
837,39601,12022,1,1701,,,7,,,Laxton-1701-07-verso,,,27,,,January,,,3,,,February,,,08;13,,,13;00,,,17;06,,,09;08,,,14;04,,,19;00,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,"56 l. to the Bushel 7 s.",,
