ageID|weekID|agegroup|ageyearmin|ageyearmax|agen
335|1729/23|20-30|20|29|34
336|1729/23|30-40|30|39|35
337|1729/23|40-50|40|49|38
338|1729/23|50-60|50|59|45
339|1729/23|60-70|60|69|26
340|1729/23|70-80|70|79|18
341|1729/23|80-90|80|89|18
342|1729/23|90 upwards|90|120|1
346|1729/24|under 2|0|1|162
347|1729/24|2-5|2|4|44
348|1729/24|5-10|5|9|14
349|1729/24|10-20|10|19|14
350|1729/24|20-30|20|29|49
351|1729/24|30-40|30|39|51
352|1729/24|40-50|40|49|43
353|1729/24|50-60|50|59|35
354|1729/24|60-70|60|69|22
355|1729/24|70-80|70|79|27
356|1729/24|80-90|80|89|14
357|1729/24|90 upwards|90|120|2
361|1729/25|under 2|0|1|164
362|1729/25|2-5|2|4|45
363|1729/25|5-10|5|9|19
364|1729/25|10-20|10|19|17
365|1729/25|20-30|20|29|36
366|1729/25|30-40|30|39|44
367|1729/25|40-50|40|49|45
368|1729/25|50-60|50|59|27
369|1729/25|60-70|60|69|26
370|1729/25|70-80|70|79|10
371|1729/25|80-90|80|89|9
372|1729/25|90 upwards|90|120|3
376|1729/26|under 2|0|1|155
377|1729/26|2-5|2|4|28
378|1729/26|5-10|5|9|20
379|1729/26|10-20|10|19|14
380|1729/26|20-30|20|29|37
381|1729/26|30-40|30|39|36
382|1729/26|40-50|40|49|34
383|1729/26|50-60|50|59|28
384|1729/26|60-70|60|69|19
385|1729/26|70-80|70|79|18
386|1729/26|80-90|80|89|17
387|1729/26|90 upwards|90|120|3
391|1729/27|under 2|0|1|163
392|1729/27|2-5|2|4|42
393|1729/27|5-10|5|9|12
394|1729/27|10-20|10|19|17
395|1729/27|20-30|20|29|41
396|1729/27|30-40|30|39|53
397|1729/27|40-50|40|49|46
398|1729/27|50-60|50|59|25
399|1729/27|60-70|60|69|26
400|1729/27|70-80|70|79|18
401|1729/27|80-90|80|89|10
402|1729/27|90 upwards|90|120|1
406|1729/28|under 2|0|1|146
407|1729/28|2-5|2|4|44
408|1729/28|5-10|5|9|19
409|1729/28|10-20|10|19|13
410|1729/28|20-30|20|29|22
411|1729/28|30-40|30|39|24
412|1729/28|40-50|40|49|43
413|1729/28|50-60|50|59|27
414|1729/28|60-70|60|69|26
415|1729/28|70-80|70|79|10
416|1729/28|80-90|80|89|6
417|1729/28|90 upwards|90|120|0
421|1729/29|under 2|0|1|153
422|1729/29|2-5|2|4|28
423|1729/29|5-10|5|9|25
424|1729/29|10-20|10|19|12
425|1729/29|20-30|20|29|37
426|1729/29|30-40|30|39|41
427|1729/29|40-50|40|49|29
428|1729/29|50-60|50|59|24
429|1729/29|60-70|60|69|21
430|1729/29|70-80|70|79|20
431|1729/29|80-90|80|89|10
432|1729/29|90 upwards|90|120|0
436|1729/30|under 2|0|1|151
437|1729/30|2-5|2|4|38
438|1729/30|5-10|5|9|11
439|1729/30|10-20|10|19|14
440|1729/30|20-30|20|29|30
441|1729/30|30-40|30|39|41
442|1729/30|40-50|40|49|37
443|1729/30|50-60|50|59|25
444|1729/30|60-70|60|69|31
445|1729/30|70-80|70|79|15
446|1729/30|80-90|80|89|12
447|1729/30|90 upwards|90|120|1
451|1729/31|under 2|0|1|143
452|1729/31|2-5|2|4|26
453|1729/31|5-10|5|9|10
454|1729/31|10-20|10|19|12
455|1729/31|20-30|20|29|26
456|1729/31|30-40|30|39|30
457|1729/31|40-50|40|49|26
458|1729/31|50-60|50|59|22
459|1729/31|60-70|60|69|20
460|1729/31|70-80|70|79|13
461|1729/31|80-90|80|89|4
462|1729/31|90 upwards|90|120|3
466|1729/32|under 2|0|1|158
467|1729/32|2-5|2|4|37
468|1729/32|5-10|5|9|14
469|1729/32|10-20|10|19|19
470|1729/32|20-30|20|29|39
471|1729/32|30-40|30|39|46
472|1729/32|40-50|40|49|27
