breadID|weekID|breadtype|lb|oz|dr
413|1652/09|3 halfpenny white|0|9.00|0
414|1652/10|wheaten|0|9.00|0
415|1652/10|3 halfpenny white|0|9.00|0
416|1652/11|wheaten|0|9.00|0
417|1652/11|3 halfpenny white|0|9.00|0
418|1652/14|wheaten|0|9.00|0
419|1652/14|3 halfpenny white|0|9.00|0
420|1652/21|wheaten|0|9.00|0
421|1652/21|3 halfpenny white|0|9.00|0
422|1652/22|wheaten|0|9.00|0
423|1652/22|3 halfpenny white|0|9.00|0
424|1652/35|wheaten|0|10.00|0
425|1652/35|3 halfpenny white|0|10.00|0
426|1652/44|wheaten|0|10.00|0
427|1652/44|3 halfpenny white|0|10.00|0
428|1652/49|wheaten|0|11.00|0
429|1652/49|3 halfpenny white|0|11.00|0
430|1652/52|wheaten|0|11.00|0
431|1652/52|3 halfpenny white|0|11.00|0
432|1653/02|wheaten|0|11.00|0
433|1653/02|3 halfpenny white|0|11.00|0
434|1653/06|wheaten|0|11.00|0
435|1653/06|3 halfpenny white|0|11.00|0
436|1653/15|wheaten|0|11.00|0
437|1653/15|3 halfpenny white|0|11.00|0
438|1653/16|wheaten|0|11.00|0
439|1653/16|3 halfpenny white|0|11.00|0
440|1653/17|wheaten|0|11.00|0
441|1653/17|3 halfpenny white|0|11.00|0
442|1653/18|wheaten|0|11.00|0
443|1653/18|3 halfpenny white|0|11.00|0
444|1653/19|wheaten|0|11.00|0
445|1653/19|3 halfpenny white|0|11.00|0
446|1653/21|wheaten|0|11.50|0
447|1653/21|3 halfpenny white|0|11.50|0
448|1653/22|wheaten|0|12.50|0
449|1653/22|3 halfpenny white|0|12.50|0
450|1653/23|wheaten|0|12.50|0
451|1653/23|3 halfpenny white|0|12.50|0
452|1653/24|wheaten|0|12.50|0
453|1653/24|3 halfpenny white|0|12.50|0
454|1653/25|wheaten|0|12.50|0
455|1653/25|3 halfpenny white|0|12.50|0
456|1653/26|wheaten|0|12.50|0
457|1653/26|3 halfpenny white|0|12.50|0
458|1653/27|wheaten|0|12.50|0
459|1653/27|3 halfpenny white|0|12.50|0
460|1653/28|wheaten|0|12.50|0
461|1653/28|3 halfpenny white|0|12.50|0
462|1653/29|wheaten|0|12.50|0
463|1653/29|3 halfpenny white|0|12.50|0
464|1653/30|wheaten|0|12.50|0
465|1653/30|3 halfpenny white|0|12.50|0
466|1653/31|wheaten|0|12.50|0
467|1653/31|3 halfpenny white|0|12.50|0
468|1653/32|wheaten|0|12.50|0
469|1653/32|3 halfpenny white|0|12.50|0
470|1653/34|wheaten|0|12.50|0
471|1653/34|3 halfpenny white|0|12.50|0
472|1653/35|wheaten|0|12.50|0
473|1653/35|3 halfpenny white|0|12.50|0
474|1653/36|wheaten|0|12.50|0
475|1653/36|3 halfpenny white|0|12.50|0
476|1653/37|wheaten|0|12.50|0
477|1653/37|3 halfpenny white|0|12.50|0
478|1653/38|wheaten|0|12.50|0
479|1653/38|3 halfpenny white|0|12.50|0
480|1653/39|wheaten|0|12.50|0
481|1653/39|3 halfpenny white|0|12.50|0
482|1653/40|wheaten|0|13.00|0
483|1653/40|3 halfpenny white|0|13.00|0
484|1653/41|wheaten|0|13.00|0
485|1653/41|3 halfpenny white|0|13.00|0
486|1653/42|wheaten|0|13.00|0
487|1653/42|3 halfpenny white|0|13.00|0
488|1653/43|wheaten|0|13.00|0
489|1653/43|3 halfpenny white|0|13.00|0
490|1653/44|wheaten|0|13.00|0
491|1653/44|3 halfpenny white|0|13.00|0
492|1653/46|wheaten|0|13.00|0
493|1653/46|3 halfpenny white|0|13.00|0
494|1653/47|wheaten|0|13.00|0
495|1653/47|3 halfpenny white|0|13.00|0
496|1653/48|wheaten|0|14.00|0
497|1653/48|3 halfpenny white|0|14.00|0
498|1653/49|wheaten|0|14.00|0
499|1653/49|3 halfpenny white|0|14.00|0
500|1653/50|wheaten|0|14.00|0
501|1653/50|3 halfpenny white|0|14.00|0
502|1653/51|wheaten|0|14.00|0
503|1653/51|3 halfpenny white|0|14.00|0
504|1654/02|wheaten|0|14.00|0
505|1654/02|3 halfpenny white|0|14.00|0
506|1654/03|wheaten|0|14.00|0
507|1654/03|3 halfpenny white|0|14.00|0
508|1654/04|wheaten|0|14.00|0
509|1654/04|3 halfpenny white|0|14.00|0
510|1654/05|wheaten|0|14.00|0
511|1654/05|3 halfpenny white|0|14.00|0
512|1654/07|wheaten|0|14.00|0
513|1654/07|3 halfpenny white|0|14.00|0
514|1654/08|wheaten|0|14.00|0
515|1654/08|3 halfpenny white|0|14.00|0
516|1654/09|wheaten|0|14.00|0
517|1654/09|3 halfpenny white|0|14.00|0
518|1654/10|wheaten|0|14.00|0
519|1654/10|3 halfpenny white|0|14.00|0
520|1654/11|wheaten|0|14.00|0
521|1654/11|3 halfpenny white|0|14.00|0
522|1654/12|wheaten|0|14.00|0
523|1654/12|3 halfpenny white|0|14.00|0
524|1654/13|wheaten|0|14.00|0
525|1654/13|3 halfpenny white|0|14.00|0
526|1654/14|wheaten|0|14.00|0
527|1654/14|3 halfpenny white|0|14.00|0
528|1654/15|wheaten|0|14.00|0
529|1654/15|3 halfpenny white|0|14.00|0
530|1654/17|wheaten|0|14.00|0
531|1654/17|3 halfpenny white|0|14.00|0
532|1654/18|wheaten|0|14.00|0
533|1654/18|3 halfpenny white|0|14.00|0
534|1654/21|wheaten|0|15.00|0
535|1654/21|3 halfpenny white|0|15.00|0
536|1654/22|wheaten|0|15.00|0
537|1654/22|3 halfpenny white|0|15.00|0
538|1654/23|wheaten|0|15.00|0
539|1654/23|3 halfpenny white|0|15.00|0
540|1654/24|wheaten|0|15.00|0
541|1654/24|3 halfpenny white|0|15.00|0
542|1654/25|wheaten|0|15.00|0
543|1654/25|3 halfpenny white|0|15.00|0
544|1654/26|wheaten|0|15.00|0
545|1654/26|3 halfpenny white|0|15.00|0
546|1654/27|wheaten|0|16.00|0
547|1654/27|3 halfpenny white|0|16.00|0
548|1654/28|wheaten|0|16.00|0
549|1654/28|3 halfpenny white|0|16.00|0
550|1654/29|wheaten|0|16.00|0
551|1654/29|3 halfpenny white|0|16.00|0
552|1654/30|wheaten|0|16.00|0
553|1654/30|3 halfpenny white|0|16.00|0
554|1654/31|wheaten|0|16.00|0
