weekID|yeartext|year|week|begindate|countsmissing|codmissing|breadmissing|agemissing|countsproblem|codproblem|breadproblem|ageproblem
1646/13|1645-46|1646|13||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1646/14|1645-46|1646|14||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1646/15|1645-46|1646|15|26-mar-1646|0|0|0|1||||not yet stated
1646/16|1645-46|1646|16|02-apr-1646|0|0|0|1|part missing|part missing||not yet stated
1646/17|1645-46|1646|17|09-apr-1646|0|0|0|1||||not yet stated
1646/18|1645-46|1646|18|16-apr-1646|0|0|0|1||||not yet stated
1646/19|1645-46|1646|19|23-apr-1646|0|0|0|1||||not yet stated
1646/20|1645-46|1646|20|30-apr-1646|0|0|0|1||||not yet stated
1646/21|1645-46|1646|21|07-may-1646|0|0|0|1||||not yet stated
1646/22|1645-46|1646|22|14-may-1646|0|0|0|1||||not yet stated
1646/23|1645-46|1646|23|21-mar-1646|0|0|0|1||||not yet stated
1646/24|1645-46|1646|24|28-may-1646|0|0|0|1||||not yet stated
1646/25|1645-46|1646|25|04-jun-1646|0|0|0|1||||not yet stated
1646/26|1645-46|1646|26|11-jun-1646|0|0|0|1||||not yet stated
1646/27|1645-46|1646|27||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1646/28|1645-46|1646|28|25-jun-1646|0|0|0|1||||not yet stated
1646/29|1645-46|1646|29|02-jul-1646|0|0|0|1||||not yet stated
1646/30|1645-46|1646|30|09-jul-1646|0|0|0|1||||not yet stated
1646/31|1645-46|1646|31|16-jul-1646|0|0|0|1||||not yet stated
1646/32|1645-46|1646|32||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1646/33|1645-46|1646|33||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1646/34|1645-46|1646|34|06-aug-1646|0|0|0|1||||not yet stated
1646/35|1645-46|1646|35|13-aug-1646|0|0|0|1||||not yet stated
1646/36|1645-46|1646|36|20-aug-1646|0|0|0|1|part missing|||not yet stated
1646/37|1645-46|1646|37||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1646/38|1645-46|1646|38||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1646/39|1645-46|1646|39|10-sep-1646|0|0|0|1||||not yet stated
1646/40|1645-46|1646|40|17-sep-1646|0|0|0|1|part missing|||not yet stated
1646/41|1645-46|1646|41|24-oct-1646|0|0|0|1|part missing|||not yet stated
1646/42|1645-46|1646|42|01-oct-1646|0|0|0|1||||not yet stated
1646/43|1645-46|1646|43|08-oct-1646|0|0|0|1||||not yet stated
1646/44|1645-46|1646|44||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1646/45|1645-46|1646|45|22-oct-1646|0|0|0|1||||not yet stated
1646/46|1645-46|1646|46|29-oct-1646|0|0|0|1||||not yet stated
1646/47|1645-46|1646|47|05-nov-1646|0|0|0|1||||not yet stated
1646/48|1645-46|1646|48|12-nov-1646|0|0|0|1||||not yet stated
1646/49|1645-46|1646|49|19-nov-1646|0|0|0|1||||not yet stated
1646/50|1645-46|1646|50|26-nov-1646|0|0|0|1||||not yet stated
1646/51|1645-46|1646|51|03-dec-1646|0|0|0|1||||not yet stated
1646/52|1645-46|1646|52|10-dec-1646|0|0|0|1||||not yet stated
1647/01|1646-47|1647|1|15-dec-1646|0|0|0|1||||not yet stated
1647/02|1646-47|1647|2|22-dec-1646|0|0|0|1||||not yet stated
1647/03|1646-47|1647|3|29-dec-1646|0|0|0|1||||not yet stated
1647/04|1646-47|1647|4|05-jan-1646|0|0|0|1||||not yet stated
1647/05|1646-47|1647|5|12-jan-1646|0|0|0|1||||not yet stated
1647/06|1646-47|1647|6|19-jan-1646|0|0|0|1||||not yet stated
1647/07|1646-47|1647|7|26-jan-1646|0|0|0|1||||not yet stated
1647/08|1646-47|1647|8|02-feb-1646|0|0|0|1||||not yet stated
1647/09|1646-47|1647|9|09-feb-1646|0|0|0|1||||not yet stated
1647/10|1646-47|1647|10|16-feb-1646|0|0|0|1||||not yet stated
1647/11|1646-47|1647|11|23-feb-1646|0|0|0|1||||not yet stated
1647/12|1646-47|1647|12|02-mar-1646|0|0|0|1||||not yet stated
1647/13|1646-47|1647|13|09-mar-1646|0|0|0|1|part missing|part missing|part missing|not yet stated
1647/14|1646-47|1647|14|16-mar-1646|0|0|0|1|part missing||part missing|not yet stated
1647/15|1646-47|1647|15|23-mar-1646|0|0|0|1|part missing||part missing|not yet stated
1647/16|1646-47|1647|16|30-mar-1647|0|0|0|1|part missing||part missing|not yet stated
1647/17|1646-47|1647|17|06-apr-1647|0|0|0|1|part missing||part missing|not yet stated
