Week,Unique Identifier,Start Day,Start Month,End Day,End Month,parish_name,count
13,1669-13-recto-form-fill,15,March,22,March,Buried in the 97 Parishes within the Walls,26
13,1669-13-recto-form-fill,15,March,22,March,Buried in the 16 Parishes without the Walls,144
13,1669-13-recto-form-fill,15,March,22,March,Buried in the 13 out-Parishes in Middlesex and Surrey,143
13,1669-13-recto-form-fill,15,March,22,March,Buried in the 5 Parishes in the City and Liberties of Westminster,87
14,1670-14-recto,22,March,29,March,Buried in the 97 Parishes within the Walls,28
14,1670-14-recto,22,March,29,March,Buried in the 16 Parishes without the Walls,163
14,1670-14-recto,22,March,29,March,Buried in the 13 out-Parishes in Middlesex and Surrey,130
14,1670-14-recto,22,March,29,March,Buried in the 5 Parishes in the City and Liberties of Westminster,76
15,1670-15-recto,29,March,5,April,Buried in the 97 Parishes within the Walls,35
15,1670-15-recto,29,March,5,April,Buried in the 16 Parishes without the Walls,135
15,1670-15-recto,29,March,5,April,Buried in the 13 out-Parishes in Middlesex and Surrey,118
15,1670-15-recto,29,March,5,April,Buried in the 5 Parishes in the City and Liberties of Westminster,81
