Week,Unique Identifier,Start Day,Start Month,End Day,End Month,parish_name,count
51,1669-51-recto,7,December,14,December,Plague in the 16 Parishes without the Walls,NA
51,1669-51-recto,7,December,14,December,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
51,1669-51-recto,7,December,14,December,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
52,1669-52-recto,14,December,21,December,Plague in the 97 Parishes within the Walls,NA
52,1669-52-recto,14,December,21,December,Plague in the 16 Parishes without the Walls,NA
52,1669-52-recto,14,December,21,December,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
52,1669-52-recto,14,December,21,December,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
1,1669-1-recto,21,December,28,December,Plague in the 97 Parishes within the Walls,NA
1,1669-1-recto,21,December,28,December,Plague in the 16 Parishes without the Walls,NA
1,1669-1-recto,21,December,28,December,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
1,1669-1-recto,21,December,28,December,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
2,1669-2-recto,28,December,4,January,Plague in the 97 Parishes within the Walls,NA
2,1669-2-recto,28,December,4,January,Plague in the 16 Parishes without the Walls,NA
2,1669-2-recto,28,December,4,January,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
2,1669-2-recto,28,December,4,January,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
3,1669-03-recto,4,January,11,January,Plague in the 97 Parishes within the Walls,NA
3,1669-03-recto,4,January,11,January,Plague in the 16 Parishes without the Walls,NA
3,1669-03-recto,4,January,11,January,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
3,1669-03-recto,4,January,11,January,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
04,1669-04-recto,11,January,18,January,Plague in the 97 Parishes within the Walls,NA
04,1669-04-recto,11,January,18,January,Plague in the 16 Parishes without the Walls,NA
04,1669-04-recto,11,January,18,January,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
04,1669-04-recto,11,January,18,January,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
05,1669-05-recto,18,January,25,January,Plague in the 97 Parishes within the Walls,NA
05,1669-05-recto,18,January,25,January,Plague in the 16 Parishes without the Walls,NA
05,1669-05-recto,18,January,25,January,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
05,1669-05-recto,18,January,25,January,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
06,1669-06-recto,25,January,1,February,Plague in the 97 Parishes within the Walls,NA
06,1669-06-recto,25,January,1,February,Plague in the 16 Parishes without the Walls,NA
06,1669-06-recto,25,January,1,February,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
06,1669-06-recto,25,January,1,February,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
07,1669-07-recto,1,February,8,February,Plague in the 97 Parishes within the Walls,NA
07,1669-07-recto,1,February,8,February,Plague in the 16 Parishes without the Walls,NA
07,1669-07-recto,1,February,8,February,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
07,1669-07-recto,1,February,8,February,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
8,1669-08-recto,8,February,15,February,Plague in the 97 Parishes within the Walls,NA
8,1669-08-recto,8,February,15,February,Plague in the 16 Parishes without the Walls,NA
8,1669-08-recto,8,February,15,February,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
8,1669-08-recto,8,February,15,February,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
9,1669-09-recto,15,February,22,February,Plague in the 97 Parishes within the Walls,NA
9,1669-09-recto,15,February,22,February,Plague in the 16 Parishes without the Walls,NA
9,1669-09-recto,15,February,22,February,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
9,1669-09-recto,15,February,22,February,Plague in the 5 Parishes in the City and Liberties of Westminster,NA
10,1669-10-recto,22,February,1,March,Plague in the 97 Parishes within the Walls,NA
10,1669-10-recto,22,February,1,March,Plague in the 16 Parishes without the Walls,NA
10,1669-10-recto,22,February,1,March,Plague in the 13 out-Parishes in Middlesex and Surrey,NA
