Omeka Item #,DataScribe Item #,DataScribe Record #,DataScribe Record Position,Unique Identifier,is_missing,is_illegible,Start Day,is_missing,is_illegible,Start Month,is_missing,is_illegible,Start Year,is_missing,is_illegible,End Day,is_missing,is_illegible,End Month,is_missing,is_illegible,End Year,is_missing,is_illegible,St Alban Woodstreet - Buried,is_missing,is_illegible,Alhallows Barking - Buried,is_missing,is_illegible,Alhallows Breadstreet - Buried,is_missing,is_illegible,Alhallows Great- Buried,is_missing,is_illegible,Alhallows Honylane - Buried,is_missing,is_illegible,Alhallows Lesse - Buried,is_missing,is_illegible,Alhallows Lumbardstreet - Buried,is_missing,is_illegible,Alhallows Stayning - Buried,is_missing,is_illegible,Alhallows the Wall - Buried,is_missing,is_illegible,St Alphage - Buried,is_missing,is_illegible,St Andrew Hubbard - Buried,is_missing,is_illegible,St Andrew Undershaft - Buried,is_missing,is_illegible,St Andrew Wardrobe - Buried,is_missing,is_illegible,St Ann Aldersgate - Buried,is_missing,is_illegible,St Ann Blackfryers - Buried,is_missing,is_illegible,St Antholins Parish - Buried,is_missing,is_illegible,St Austins Parish - Buried,is_missing,is_illegible,St Bartholomew Exchange - Buried,is_missing,is_illegible,St Bennet Fynck - Buried,is_missing,is_illegible,St Bennet Gracechurch - Buried,is_missing,is_illegible,St Bennet Paulswharf - Buried,is_missing,is_illegible,St Bennet Sherehog - Buried,is_missing,is_illegible,St Botolph Billingsgate - Buried,is_missing,is_illegible,Christ Church - Buried,is_missing,is_illegible,St Christophers - Buried,is_missing,is_illegible,St Clement Eastcheap - Buried,is_missing,is_illegible,St Dionis Backchurch - Buried,is_missing,is_illegible,St Dunstan East - Buried,is_missing,is_illegible,St Edmund Lumbardstr. - Buried,is_missing,is_illegible,St Ethelborough - Buried,is_missing,is_illegible,St Faith - Buried,is_missing,is_illegible,St Gabriel Fenchurch - Buried,is_missing,is_illegible,St George Botolphlane - Buried,is_missing,is_illegible,St Gregory by St Pauls - Buried,is_missing,is_illegible,St Hellen - Buried,is_missing,is_illegible,St James Dukes place - Buried,is_missing,is_illegible,St James Garlickhithe - Buried,is_missing,is_illegible,St John Baptist - Buried,is_missing,is_illegible,St John Evangelist - Buried,is_missing,is_illegible,St John Zachary - Buried,is_missing,is_illegible,St Katharine Coleman - Buried,is_missing,is_illegible,St Katharine Creechurch - Buried,is_missing,is_illegible,St Lawrence Jewry - Buried,is_missing,is_illegible,St Lawrence Pountney - Buried,is_missing,is_illegible,St Leonard Eastcheap - Buried,is_missing,is_illegible,St Leonard Fosterlane - Buried,is_missing,is_illegible,St Magnus Parish - Buried,is_missing,is_illegible,St Margaret Lothbury - Buried,is_missing,is_illegible,St Margaret Moses - Buried,is_missing,is_illegible,St Margaret Newfishstreet - Buried,is_missing,is_illegible,St Margaret Pattons - Buried,is_missing,is_illegible,St Martin Iremongerlane - Buried,is_missing,is_illegible,St Martin Ludgate - Buried,is_missing,is_illegible,St Martin Orgars - Buried,is_missing,is_illegible,St Martin Outwich - Buried,is_missing,is_illegible,St Martin Vintrey - Buried,is_missing,is_illegible,St Mary Abchurch - Buried,is_missing,is_illegible,St Mary Aldermanbury - Buried,is_missing,is_illegible,St Mary Aldermary - Buried,is_missing,is_illegible,St Mary le Bow - Buried,is_missing,is_illegible,St Mary Bothaw - Buried,is_missing,is_illegible,St Mary Colechurch - Buried,is_missing,is_illegible,St Mary Hill - Buried,is_missing,is_illegible,St Maudlin Milkstreet,is_missing,is_illegible,St Maudlin Oldfishstreet - Buried,is_missing,is_illegible,St Mary Mounthaw - Buried,is_missing,is_illegible,St Mary Sommerset - Buried,is_missing,is_illegible,St Mary Stayning - Buried,is_missing,is_illegible,St Mary Woolchurch - Buried,is_missing,is_illegible,St Mary Woolnoth - Buried,is_missing,is_illegible,St Matthew Fridaystreet - Buried,is_missing,is_illegible,St Michael Bassishaw - Buried,is_missing,is_illegible,St Michael Cornhil - Buried,is_missing,is_illegible,St Michael Crookedlane - Buried,is_missing,is_illegible,St Michael Queenhithe - Buried,is_missing,is_illegible,St Michael Quern - Buried,is_missing,is_illegible,St Michael Royal - Buried,is_missing,is_illegible,St Michael Woodstreet - Buried,is_missing,is_illegible,St Mildred Breadstreet - Buried,is_missing,is_illegible,St Mildred Poultrey - Buried,is_missing,is_illegible,St Nicholas Acons - Buried,is_missing,is_illegible,St Nicholas Coleabby - Buried,is_missing,is_illegible,St Nicholas Olaves - Buried,is_missing,is_illegible,St Olave Hartstreet - Buried,is_missing,is_illegible,St Olave Jewry - Buried,is_missing,is_illegible,St Olave Silverstreet - Buried,is_missing,is_illegible,St Pancras Pancras lane - Buried,is_missing,is_illegible,St Peter Cheap - Buried,is_missing,is_illegible,St Peter Cornhil - Buried,is_missing,is_illegible,St Peter Paulswharf - Buried,is_missing,is_illegible,St Peter Poor - Buried,is_missing,is_illegible,St Steven Colemanstreet - Buried,is_missing,is_illegible,St Steven Walbrook - Buried,is_missing,is_illegible,St Swithin - Buried,is_missing,is_illegible,St Thomas Apostles - Buried,is_missing,is_illegible,Trinity Parish - Buried,is_missing,is_illegible,St Foster - Buried,is_missing,is_illegible,Christened in the 97 Parishes within the Walls,is_missing,is_illegible,Buried in the 97 Parishes within the Walls,is_missing,is_illegible,Plague in the 97 Parishes within the Walls,is_missing,is_illegible,St Andrew Holborn - Buried,is_missing,is_illegible,St Bartholomew Great - Buried,is_missing,is_illegible,St Bartholomew Less - Buried,is_missing,is_illegible,St Botolph Aldersgate - Buried,is_missing,is_illegible,St Botolph Aldgate - Buried,is_missing,is_illegible,St Botolph Bishopsgate - Buried,is_missing,is_illegible,Bridewel Precinct - Buried,is_missing,is_illegible,St Bridget - Buried,is_missing,is_illegible,St Dunstan West - Buried,is_missing,is_illegible,St George Southwark - Buried,is_missing,is_illegible,St Giles Cripplegate - Buried,is_missing,is_illegible,St John Southwark - Buried,is_missing,is_illegible,St Olave Southwark - Buried,is_missing,is_illegible,Saviours Southwark - Buried,is_missing,is_illegible,S Sepulchres Parish - Buried,is_missing,is_illegible,St Thomas Southwark - Buried,is_missing,is_illegible,Trinity Minories - Buried,is_missing,is_illegible,Pesthouse Without the Walls - Buried,is_missing,is_illegible,Christened in the Parishes without the Walls,is_missing,is_illegible,Buried in the Parishes without the Walls,is_missing,is_illegible,Plague in the Parishes without the Walls,is_missing,is_illegible,St Ann in Middlesex - Buried,is_missing,is_illegible,Christ Church in Surry - Buried,is_missing,is_illegible,Christ Church in Middlesex - Buried,is_missing,is_illegible,Stepney Parish - Buried,is_missing,is_illegible,St George in Bloomsbury - Buried,is_missing,is_illegible,St George in Middlesex - Buried,is_missing,is_illegible,St George by Queen's Square - Buried,is_missing,is_illegible,St Giles in the Field - Buried,is_missing,is_illegible,St James Clerkenwel - Buried,is_missing,is_illegible,Hackney Parish - Buried,is_missing,is_illegible,St John at Wapping - Buried,is_missing,is_illegible,St Katharine Tower - Buried,is_missing,is_illegible,St Leonard Shoreditch - Buried,is_missing,is_illegible,St Luke in Middlesex - Buried,is_missing,is_illegible,St Mary Islington - Buried,is_missing,is_illegible,Lambeth Parish - Buried,is_missing,is_illegible,St Magdalen Bermondsey - Buried,is_missing,is_illegible,St Mary Newington - Buried,is_missing,is_illegible,Rothorith Parish - Buried,is_missing,is_illegible,St Mary Whitechappel - Buried,is_missing,is_illegible,St Matthew at Bethnal Green - Buried,is_missing,is_illegible,St Pauls Shadwel - Buried,is_missing,is_illegible,Christened in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,Buried in the 13 out-Parishes in Middlesex and Surrey,is_missing,is_illegible,Plague in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,St Ann in Westminster - Buried,is_missing,is_illegible,St Clement Danes - Buried,is_missing,is_illegible,St George by Hanover Square - Buried,is_missing,is_illegible,St James in Westminster - Buried,is_missing,is_illegible,St John the Evangelist - Buried,is_missing,is_illegible,St Margaret Westminster - Buried,is_missing,is_illegible,St Martin in the fields - Buried,is_missing,is_illegible,St Mary le Strand - Buried,is_missing,is_illegible,St Mary Savoy - Buried,is_missing,is_illegible,St Paul Covent Garden - Buried,is_missing,is_illegible,Christened in the Parishes in the City and Liberties of Westminster,is_missing,is_illegible,Buried in the Parishes in the City and Liberties of Westminster,is_missing,is_illegible,Plague in the Parishes in the City and Liberties of Westminster,is_missing,is_illegible
9694,2990,7914,1,Laxton-1723-1724-GeneralBill,,,10,,,December,,,1723,,,15,,,December,,,1724,,,25,,,76,,,11,,,45,,,,,,16,,,18,,,6,,,65,,,29,,,6,,,39,,1,53,,,36,,,132,,,16,,,22,,,22,,,14,,,15,,,35,,,2,,,10,,,186,,,20,,,12,,,28,,,57,,,24,,,24,,,35,,,8,,,18,,,50,,,37,,,37,,,39,,,24,,,2,,,25,,,57,,,53,,,55,,,14,,,5,,,20,,,35,,,39,,,6,,,,,,16,,,12,,,35,,,9,,,15,,,42,,,29,,,19,,,31,,,25,,,4,,,,,,32,,,,,,21,,,5,,,50,,,15,,,,,,15,,,17,,,32,,,20,,,34,,,32,,,21,,,15,,,19,,,14,,,34,,,5,,,9,,,7,,,63,,,9,,,35,,,4,,,7,,,33,,,19,,,34,,,91,,,19,,,26,,,7,,,14,,,20,,,1927,,,2618,,,,1,,1090,,,62,,,33,,,198,,,874,,,593,,,35,,,352,,,223,,,516,,,1609,,,,1,,907,,,804,,,731,,,250,,,26,,,,,,6499,,,8303,,,,1,,,1,,234,,,,1,,2585,,,,1,,,1,,,1,,1505,,,444,,,174,,,314,,,200,,,765,,,,1,,218,,,370,,,524,,,319,,,249,,,935,,,,1,,492,,,6973,,,9328,,,,1,,364,,,523,,,,1,,1244,,,,1,,1190,,,1962,,,,1,,161,,,259,,,3971,,,5703,,,,1,
9696,2991,7917,1,Laxton-1724-1725-GeneralBill,,,15,,,December,,,1724,,,14,,,December,,,1725,,,38,,,95,,,11,,,55,,,,,,24,,,21,,,26,,,50,,,48,,,11,,,41,,,54,,,45,,,145,,,15,,,15,,,17,,,28,,,10,,,39,,,4,,,11,,,170,,,9,,,12,,,28,,,87,,,17,,,27,,,30,,,1,,,17,,,59,,,35,,,28,,,42,,,23,,,4,,,18,,,48,,,76,,,44,,,12,,,5,,,39,,,34,,,18,,,2,,,,,,14,,,15,,,28,,,10,,,6,,,47,,,21,,,18,,,22,,,30,,,4,,,,,,25,,,,,,31,,,16,,,44,,,9,,,,,,16,,,10,,,23,,,18,,,38,,,23,,,7,,,9,,,25,,,9,,,27,,,7,,,14,,,8,,,39,,,4,,,34,,,2,,,7,,,39,,,19,,,23,,,74,,,21,,,27,,,17,,,17,,,22,,,1822,,,2607,,,,1,,1166,,,48,,,30,,,236,,,843,,,504,,,36,,,350,,,230,,,492,,,1631,,,,1,,848,,,681,,,740,,,268,,,20,,,,,,6320,,,8123,,,,1,,,1,,257,,,,1,,2511,,,,1,,,1,,,1,,1554,,,477,,,171,,,357,,,209,,,761,,,,1,,140,,,384,,,473,,,274,,,244,,,905,,,,1,,445,,,6890,,,9162,,,,1,,414,,,577,,,,1,,1390,,,,1,,1220,,,1643,,,,1,,130,,,257,,,3827,,,5631,,,,1,
9723,2992,7918,1,Laxton-1725-1726-GeneralBill,,,14,,,December,,,1725,,,13,,,December,,,1726,,,32,,,111,,,10,,,51,,,,,,25,,,11,,,31,,,60,,,38,,,21,,,64,,,71,,,36,,,175,,,13,,,19,,,21,,,19,,,15,,,56,,,3,,,6,,,198,,,22,,,19,,,30,,,84,,,30,,,24,,,46,,,8,,,17,,,54,,,42,,,32,,,44,,,20,,,4,,,18,,,57,,,79,,,63,,,18,,,11,,,38,,,28,,,26,,,13,,,,,,15,,,18,,,16,,,21,,,6,,,38,,,31,,,32,,,30,,,30,,,5,,,,,,49,,,,,,48,,,10,,,56,,,2,,,,,,18,,,7,,,38,,,39,,,42,,,46,,,6,,,14,,,45,,,16,,,35,,,6,,,20,,,12,,,37,,,5,,,40,,,1,,,11,,,36,,,24,,,22,,,82,,,26,,,15,,,26,,,19,,,29,,,1982,,,3043,,,,1,,1271,,,73,,,55,,1,280,,,965,,,659,,,39,,,352,,,272,,,615,,,1779,,,,1,,1070,,,983,,,850,,,248,,,25,,,,,,6157,,,9536,,,,1,,,1,,275,,,,1,,2978,,,,1,,,1,,,1,,1669,,,643,,,229,,,343,,,221,,,884,,,,1,,228,,,484,,,483,,,354,,,273,,,1209,,,,1,,573,,,6919,,,10846,,,,1,,558,,,661,,,,1,,1498,,,,1,,1223,,,1822,,,102,,,62,,,296,,,3750,,,6222,,,,1,
9724,2993,7919,1,Laxton-1726-1727-GeneralBill,,,14,,1,December,,,1726,,,12,,,December,,,1727,,,31,,,97,,,9,,,62,,,,,,30,,,30,,,28,,,46,,,39,,,15,,,54,,,66,,,54,,,149,,,9,,,19,,,23,,,17,,,8,,,47,,,3,,,4,,,203,,,15,,,19,,,23,,,79,,,21,,,26,,,42,,,8,,,21,,,52,,,37,,,29,,,43,,,32,,,3,,,23,,,49,,,70,,,29,,,18,,,8,,,30,,,29,,,39,,,7,,,,,,19,,,14,,,34,,,11,,,14,,,38,,,21,,,28,,,27,,,24,,,4,,,,,,26,,,,,,26,,,9,,,48,,,11,,,,,,29,,,14,,,33,,,17,,,33,,,26,,,9,,,18,,,11,,,14,,,38,,,4,,,8,,,12,,,43,,,4,,,34,,,7,,,5,,,41,,,25,,,15,,,61,,,19,,,16,,,13,,,20,,,36,,,1843,,,2754,,,,1,,1219,,,64,,,26,,,268,,,960,,,620,,,40,,,333,,,199,,,459,,,1796,,,,1,,921,,,748,,,788,,,270,,,22,,,,,,5933,,,8733,,,,1,,,1,,225,,,,1,,3150,,,,1,,,1,,,1,,1623,,,578,,,237,,,370,,,216,,,962,,,,1,,246,,,487,,,501,,,341,,,325,,,1161,,,,1,,731,,,6763,,,11153,,,,1,,512,,,601,,,,1,,1421,,,,1,,1265,,,1560,,,45,,,117,,,257,,,3713,,,5778,,,,1,
9725,2994,7920,1,Laxton-1727-1728-GeneralBill,,,11,,,December,,,1727,,,10,,,December,,,1728,,,27,,,70,,,13,,,61,,,,,,25,,,21,,,19,,,40,,,39,,,14,,,39,,,67,,,36,,,167,,,5,,,22,,,21,,,17,,,17,,,38,,,1,,,5,,,185,,,21,,,20,,,30,,,80,,,21,,,30,,,39,,,20,,,16,,,60,,,25,,,31,,,25,,,31,,,6,,,21,,,69,,,79,,,42,,,14,,,12,,,31,,,48,,,19,,,6,,,,,,16,,,14,,,30,,,22,,,20,,,35,,,24,,,37,,,18,,,31,,,5,,,,,,37,,,,,,29,,,9,,,41,,,17,,,,,,25,,,3,,,52,,,14,,,41,,,30,,,17,,,23,,,13,,,19,,,35,,,3,,,24,,,6,,,54,,,4,,,50,,,1,,,4,,,49,,,15,,,24,,,48,,,16,,,23,,,11,,,31,,,28,,,1574,,,2793,,,,1,,1245,,,45,,,35,,,248,,,833,,,564,,,35,,,387,,,262,,,592,,,1694,,,,1,,877,,,888,,,784,,,371,,,34,,,,,,5570,,,8894,,,,1,,,1,,213,,,,1,,2812,,,,1,,,1,,,1,,1481,,,621,,,217,,,324,,,198,,,858,,,,1,,269,,,553,,,516,,,382,,,310,,,1085,,,,1,,623,,,6027,,,10462,,,,1,,463,,,582,,,,1,,1409,,,,1,,1145,,,1600,,,106,,,73,,,283,,,3481,,,5661,,,,1,
9726,2995,7926,1,Laxton-1728-1729-GeneralBill,,,10,,,December,,,1728,,,9,,,December,,,1729,,,32,,,66,,,11,,,64,,,,,,28,,,23,,,26,,,37,,,44,,,13,,,45,,,43,,,50,,,171,,,11,,,17,,,26,,,26,,,7,,,40,,,1,,,6,,,217,,,20,,,17,,,30,,,79,,,27,,,28,,,36,,,14,,,9,,,78,,,15,,,40,,,37,,,17,,,4,,,20,,,47,,,85,,,48,,,12,,,10,,,29,,,50,,,28,,,7,,,,,,16,,,8,,,22,,,22,,,8,,,34,,,20,,,46,,,28,,,26,,,3,,,,,,46,,,,,,33,,,17,,,36,,,21,,,,,,19,,,10,,,36,,,22,,,34,,,35,,,14,,,11,,,9,,,7,,,25,,,4,,,19,,,9,,,49,,,4,,,52,,,3,,,4,,,41,,,20,,,12,,,101,,,14,,,20,,,17,,,18,,,26,,,1703,,,2826,,,,1,,1447,,,67,,,35,,,245,,,906,,,585,,,36,,,339,,,243,,,536,,,1771,,,,1,,936,,,883,,,866,,,352,,,37,,1,,,,5504,,,9284,,,,1,,,1,,226,,,355,,,2327,,,,1,,374,,,227,,,1650,,,611,,,200,,,365,,,249,,,814,,,,1,,211,,,478,,,582,,,353,,,300,,,1307,,,,1,,538,,1,6405,,,11245,,,,1,,527,,,695,,,78,,,1580,,,,1,,1276,,,1783,,,107,,,99,,,300,,,3448,,,6367,,,,1,
9727,2996,7928,1,Laxton-1729-1730-GeneralBill,,,9,,,December,,,1729,,,15,,,December,,,1730,,,26,,,92,,,13,,,59,,,,,,17,,,17,,,21,,,56,,,37,,,21,,,43,,,46,,,47,,,161,,,8,,,18,,,26,,,20,,,13,,,44,,,1,,,7,,,168,,,19,,,18,,,33,,,76,,,21,,,21,,,38,,,11,,,20,,,72,,,33,,,27,,,23,,,27,,,1,,,26,,,50,,,59,,,38,,,19,,,10,,,22,,,42,,,21,,,3,,,,,,23,,,10,,,23,,,12,,,9,,,35,,,21,,,33,,,26,,,32,,,7,,,,,,29,,,,,,31,,,11,,,58,,,27,,,,,,16,,,10,,,25,,,18,,,28,,,35,,,16,,,18,,,15,,,13,,,15,,,2,,,15,,,7,,,52,,,8,,,29,,,5,,,13,,,36,,,24,,,12,,,65,,,14,,,23,,,18,,,10,,,20,,,1564,,,2654,,,,1,,1142,,,52,,,36,,,248,,,827,,,638,,,33,,,321,,,183,,,377,,,1562,,,,1,,829,,,772,,,740,,,271,,,25,,,,,,5585,,,8056,,,,1,,49,,,261,,,683,,,1160,,,,1,,792,,,196,,,1403,,,529,,,209,,,330,,,206,,,810,,,,1,,193,,,436,,,532,,,295,,,321,,,1184,,,,1,,487,,,6082,,,10076,,,,1,,479,,,545,,,521,,,1300,,,,1,,1197,,,1495,,,117,,,83,,,238,,,3687,,,5975,,,,1,
9728,2997,7971,1,Laxton-1730-1731-GeneralBill,,,15,,,December,,,1730,,,14,,,December,,,1731,,,21,,,65,,,15,,,52,,,,,,20,,,15,,,24,,,39,,,39,,,11,,,38,,,64,,,36,,,141,,,12,,,14,,,21,,,22,,,10,,,31,,,6,,,6,,,117,,,16,,,14,,,28,,,48,,,16,,,23,,,34,,,12,,,14,,,48,,,26,,,24,,,18,,,31,,,1,,,14,,,39,,,69,,,29,,,15,,,9,,,29,,,42,,,21,,,3,,,,,,12,,,10,,,22,,,14,,,10,,,38,,,29,,,36,,,19,,,23,,,10,,,,,,36,,,,,,27,,,12,,,43,,,18,,,,,,22,,,11,,,32,,,24,,,34,,,26,,,11,,,14,,,13,,,11,,,29,,,4,,,9,,,7,,,37,,,6,,,37,,,5,,,8,,,24,,,19,,,16,,,58,,,23,,,13,,,7,,,17,,,28,,,1593,,,2346,,,,1,,1233,,,57,,,34,,,229,,,850,,,525,,,27,,,298,,1,188,,,368,,,1585,,,,1,,937,,,761,,,633,,,261,,,20,,,,,,5809,,,8036,,,,1,,184,,,209,,,576,,,1009,,,255,,,631,,,206,,,945,,,608,,,188,,,317,,,190,,,754,,,,1,,200,,,417,,,487,,,359,,,268,,,1133,,,,1,,505,,,6470,,,9441,,,,1,,480,,,519,,,369,,,1173,,,80,,,1054,,,1389,,,99,,,66,,,210,,,3958,,,5439,,,,1,
9729,2998,7972,1,Laxton-1731-1732-GeneralBill,,,14,,,December,,,1731,,,12,,,December,,,1732,,,27,,,62,,,22,,,56,,,,,,19,,,19,,,17,,,34,,,37,,,13,,,30,,,48,,,30,,,117,,,16,,,16,,,16,,,19,,,11,,,39,,,1,,,4,,,121,,,15,,,13,,,17,,,60,,,9,,,26,,,44,,,11,,,11,,,45,,,26,,,29,,,11,,,20,,,5,,,15,,,52,,,59,,,42,,,7,,,11,,,32,,,31,,,23,,,11,,,,,,11,,,9,,,21,,,17,,,9,,,42,,,18,,,26,,,11,,,32,,,6,,,,,,33,,,1,,,29,,,11,,,36,,,17,,,,,,5,,,2,,,28,,,19,,,33,,,31,,,6,,,14,,,9,,,9,,,29,,,3,,,9,,,5,,,51,,,5,,,35,,,2,,,3,,1,30,,1,10,,,10,,,64,,,16,,,19,,,6,,,21,,,22,,,1551,,,2224,,,,1,,978,,,50,,,24,,,173,,,826,,1,503,,,32,,,287,,,184,,,349,,,1305,,,,1,,773,,,685,,,612,,,199,,,14,,,,,,5874,,,6994,,,,1,,145,,,177,,,557,,,910,,,407,,,631,,,212,,,786,,,404,,,164,,,320,,,199,,,688,,,,1,,186,,,459,,,464,,,283,,,258,,,1050,,,,1,,442,,,6345,,1,8742,,,,1,,455,,,480,,,363,,,1114,,,221,,,978,,,1350,,,101,,,76,,,260,,1,4018,,,5398,,,,1,
9730,2999,7973,1,Laxton-1732-1733-GeneralBill,,,12,,,December,,,1732,,,11,,,December,,,1733,,,37,,,79,,,13,,,68,,,1,,,20,,,23,,,27,,,44,,,40,,,11,,,45,,,87,,,46,,,189,,,9,,,15,,,21,,,19,,,12,,,25,,,2,,,9,,,127,,,20,,1,14,,,24,,,74,,,11,,,21,,,52,,,13,,,16,,,44,,,19,,,32,,,19,,,22,,,3,,,16,,,46,,,58,,,38,,,21,,,8,,,33,,,26,,,36,,,4,,,,,,12,,,12,,,19,,,16,,,15,,,33,,,18,,,42,,,28,,,27,,,9,,,,,,34,,,3,,,30,,,9,,,41,,,24,,,,,,15,,,7,,,18,,,19,,,39,,,45,,,10,,1,15,,,18,,,2,,,21,,,2,,,16,,,7,,,44,,,8,,,45,,,2,,,6,,,27,,,23,,,18,,,63,,,23,,,23,,,18,,,20,,,39,,,1480,,,2610,,,,1,,1235,,1,63,,1,36,,,272,,,963,,,642,,,33,,,331,,,214,,,405,,,1733,,,201,,,845,,,810,,,853,,,214,,,17,,,,,,5768,,,8867,,,,1,,187,,,260,,1,753,,1,1230,,1,567,,1,773,,,262,,1,1032,,1,605,,,201,,,432,,,265,,,912,,,69,,,252,,,503,,,569,,,336,,,319,,,1363,,,,1,,534,,,6355,,,11424,,,,1,,657,,,,,1,468,,1,1230,,,285,,,1082,,,1577,,,114,,,118,,,267,,,3862,,,6332,,,,1,
9731,3000,8010,1,Laxton-1733-1734-GeneralBill,,,12,,,December,,,1733,,,10,,,December,,,1734,,,29,,,74,,,8,,,46,,,,,,17,,,12,,,30,,,23,,,30,,,20,,,40,,,41,,,40,,,135,,,7,,,21,,,11,,,15,,,14,,,30,,,2,,,7,,,113,,,24,,,13,,,33,,,58,,,14,,,21,,,35,,,18,,,16,,,83,,,30,,,30,,,24,,,21,,,3,,,11,,,56,,,62,,,40,,,12,,,18,,,23,,,35,,,28,,,2,,,,,,16,,,6,,,8,,,19,,,4,,,36,,,20,,,33,,,22,,,21,,,3,,,,,,34,,,,,,25,,,15,,,49,,,9,,,,,,11,,,11,,,8,,,26,,,26,,,29,,,12,,,16,,,7,,,8,,,25,,,4,,,16,,,11,,1,54,,,5,,,31,,,1,,,8,,,33,,,11,,,13,,,71,,,11,,,18,,,20,,,24,,,41,,,1441,,,2346,,,,1,,1002,,,47,,,29,,,226,,,838,,,659,,,34,,,296,,,186,,,384,,,583,,,387,,,552,,,755,,,715,,,210,,,26,,,,,,4909,,,6929,,,,1,,217,,,236,,,807,,1,1150,,,436,,,715,,,222,,,955,,,480,,,199,,,208,,,191,,,842,,,920,,,256,,,481,,,506,,,347,,,286,,,1191,,,,1,,480,,,7171,,,11185,,,,1,,511,,,426,,,518,,1,245,,,1133,,,1074,,,1297,,,104,,,90,,,204,,,4109,,,5602,,,,1,
9770,3002,8014,1,Laxton-1734-1735-GeneralBill,,,12,,,December,,,1734,,,9,,,December,,,1735,,,15,,,61,,,8,,,56,,,,,,18,,,14,,,30,,,40,,,25,,,8,,,26,,,45,,,43,,,149,,,7,,,15,,,24,,1,13,,1,9,,1,25,,1,,,,2,,1,112,,1,12,,1,12,,,20,,,56,,,14,,,32,,,30,,,8,,,13,,,66,,,17,,,22,,,25,,,22,,,1,,,13,,,41,,,51,,,32,,1,15,,,9,,,13,,,16,,,21,,1,2,,1,,,,7,,,5,,,16,,,4,,,5,,,49,,,14,,,19,,,17,,,19,,,2,,,1,,,40,,,,,,26,,,13,,,27,,1,22,,,,,,12,,,11,,,25,,,18,,,23,,,21,,,9,,,10,,,3,,,1,,,19,,,3,,,17,,,4,,,39,,,13,,,20,,,,,,6,,,26,,,12,,,12,,,55,,,13,,,17,,,7,,,14,,,22,,,1424,,1,2038,,1,,1,,917,,1,,,1,26,,1,238,,,744,,,505,,,35,,,214,,,206,,,289,,,503,,,352,,,440,,,643,,,686,,,177,,,21,,,,,,4770,,,6038,,,,1,,113,,1,188,,,712,,,911,,,370,,,695,,,208,,,1024,,,488,,,191,,,298,,,194,,,755,,,769,,,239,,,383,,,303,,,287,,,294,,,1014,,,,1,,475,,,6742,,,10001,,,,1,,440,,,406,,1,527,,,1149,,,,,1,994,,,1252,,,97,,,92,,,254,,,3937,,,5461,,,,1,
9769,3001,8013,1,Laxton-1735-1736-GeneralBill,,,9,,,December,,,1735,,,7,,,December,,,1736,,,35,,,80,,,8,,,50,,,1,,,18,,,16,,,22,,,50,,,19,,,20,,,40,,,57,,,46,,1,155,,,7,,,20,,,19,,,23,,,11,,,41,,,1,,,6,,,120,,,12,,,17,,,20,,,63,,,3,,,22,,,54,,,8,,,13,,,70,,,20,,,17,,,22,,,32,,,5,,,12,,,42,,,48,,,45,,,20,,,10,,,24,,,33,,,26,,,7,,,,,,5,,,11,,,25,,,6,,,4,,,42,,,21,,,39,,,24,,,24,,,6,,,,,,39,,,2,,,39,,,11,,,46,,,24,,,,,,21,,,5,,,28,,,28,,,30,,,27,,,14,,,13,,,3,,,10,,,19,,,6,,,17,,,13,,,48,,,7,,,25,,,2,,,3,,,32,,,13,,,7,,,66,,,19,,,20,,,14,,,7,,,23,,,1452,,,2398,,,,1,,1217,,,45,,,23,,,250,,,909,,,584,,,33,,,274,,,174,,,389,,,640,,,391,,,523,,,760,,,775,,,235,,,22,,,,,,4475,,,7244,,,,1,,169,,,208,,,766,,,1093,,,509,,,810,,,278,,,1215,,,604,,,186,,,290,,,231,,,859,,,1061,,,261,,,493,,,481,,,340,,,271,,,1252,,,,1,,447,,,6780,,,11824,,,,1,,615,,,477,,,521,,,1243,,,247,,,1006,,,1478,,,127,,,96,,,305,,,3784,,,6115,,,,1,
