"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,Week,"Unique ID","Start Day","Start Month","End Day","End month","St Alban Woodstreet - Buried","St Alban Woodstreet - Plague","Alhallows Barking - Buried","Alhallows Barking - Plague","Alhallows Breadstreet - Buried","Alhallows Breadstreet - Plague","Alhallows Great - Buried","Alhallows Great - Plague","Alhallows Honylane - Buried","Alhallows Honylane - Plague","Alhallows Lesse - Buried","Alhallows Lesse - Plague","Alhallows Lumbardstreet - Buried","Alhallows Lumbardstreet - Plague","Alhallows Stayning - Buried","Alhallows Stayning - Plague","Alhallows the Wall - Buried","Alhallows the Wall - Plague","St Alphage - Buried","St Alphage - Plague","St Andrew Hubbard - Buried","St Andrew Hubbard - Plague","St Andrew Undershaft - Buried","St Andrew Undershaft - Plague","St Andrew Wardrobe - Buried","St Andrew Wardrobe - Plague","St Ann Aldersgate - Buried","St Ann Aldersgate - Plague","St Ann Blackfryers - Buried","St Ann Blackfryers - Plague","St Antholins Parish - Buried","St Antholins Parish - Plague","St Austins Parish - Buried","St Austins Parish - Plague","St Bartholomew Exchange - Buried","St Bartholomew Exchange - Plague","St Bennet Fynck - Buried","St Bennet Fynck - Plague","St Bennet Gracechurch - Buried","St Bennet Gracechurch - Plague","St Bennet Paulswharf - Buried","St Bennet Paulswharf - Plague","St Bennet Sherehog - Buried","St Bennet Sherehog - Plague","St Botolph Billingsgate - Buried","St Botolph Billingsgate - Plague","Christ Church - Buried","Christ Church - Plague","St Christophers - Buried","St Christophers - Plague","St Clement Eastcheap - Buried","St Clement Eastcheap - Plague","St Dionis Backchurch - Buried","St Dionis Backchurch - Plague","St Dunstan East - Buried","St Dunstan East - Plague","St Edmund Lumbardstr. - Buried","St Edmund Lumbardstr. - Plague","St Ethelborough - Buried","St Ethelborough - Plague","St Faith - Buried","St Faith - Plague","St Gabriel Fenchurch - Buried","St Gabriel Fenchurch - Plague","St George Botolphlane - Buried","St George Botolphlane - Plague","St Gregory by St Pauls - Buried","St Gregory by St Pauls - Plague","St Hellen - Buried","St Hellen - Plague","St James Dukes place - Buried","St James Dukes place - Plague","St James Garlickhithe - Buried","St James Garlickhithe - Plague","St John Baptist - Buried","St John Baptist - Plague","St John Evangelist - Buried","St John Evangelist - Plague","St John Zachary - Buried","St John Zachary - Plague","St Katharine Coleman - Buried","St Katharine Coleman - Plague","St Katharine Creechurch - Buried","St Katharine Creechurch - Plague","St Lawrence Jewry - Buried","St Lawrence Jewry - Plague","St Lawrence Pountney - Buried","St Lawrence Pountney - Plague","St Leonard Eastcheap - Buried","St Leonard Eastcheap - Plague","St Leonard Fosterlane - Buried","St Leonard Fosterlane - Plague","St Magnus Parish - Buried","St Magnus Parish - Plague","St Margaret Lothbury - Buried","St Margaret Lothbury - Plague","St Margaret Moses - Buried","St Margaret Moses - Plague","St Margaret Newfishstreet - Buried","St Margaret Newfishstreet - Plague","St Margaret Pattons - Buried","St Margaret Pattons - Plague","St Martin Iremongerlane - Buried","St Martin Iremongerlane - Plague","St Martin Ludgate - Buried","St Martin Ludgate - Plague","St Martin Orgars - Buried","St Martin Orgars - Plague","St Martin Outwich - Buried","St Martin Outwich - Plague","St Martin Vintrey - Buried","St Martin Vintrey - Plague","St Mary Abchurch - Buried","St Mary Abchurch - Plague","St Mary Aldermanbury - Buried","St Mary Aldermanbury - Plague","St Mary Aldermary - Buried","St Mary Aldermary - Plague","St Mary le Bow - Buried","St Mary le Bow - Plague","St Mary Bothaw - Buried","St Mary Bothaw - Plague","St Mary Colechurch - Buried","St Mary Colechurch - Plague","St Mary Hill - Buried","St Mary Hill - Plague","St Maudlin Milkstreet - Buried","St Maudlin Milkstreet - Plague","St Maudlin Oldfishstreet - Buried","St Maudlin Oldfishstreet - Plague","St Mary Mounthaw - Buried","St Mary Mounthaw - Plague","St Mary Sommerset - Buried","St Mary Sommerset - Plague","St Mary Stayning - Buried","St Mary Stayning - Plague","St Mary Woolchurch - Buried","St Mary Woolchurch - Plague","St Mary Woolnoth - Buried","St Mary Woolnoth - Plague","St Matthew Fridaystreet - Buried","St Matthew Fridaystreet - Plague","St Michael Bassishaw - Buried","St Michael Bassishaw - Plague","St Michael Cornhil - Buried","St Michael Cornhil - Plague","St Michael Crookedlane - Buried","St Michael Crookedlane - Plague","St Michael Queenhithe - Buried","St Michael Queenhithe - Plague","St Michael Quern - Buried","St Michael Quern - Plague","St Michael Royal - Buried","St Michael Royal - Plague","St Michael Woodstreet - Buried","St Michael Woodstreet - Plague","St Mildred Breadstreet - Buried","St Mildred Breadstreet - Plague","St Mildred Poultrey - Buried","St Mildred Poultrey - Plague","St Nicholas Acons - Buried","St Nicholas Acons - Plague","St Nicholas Coleabby - Buried","St Nicholas Coleabby - Plague","St Nicholas Olaves - Buried","St Nicholas Olaves - Plague","St Olave Hartstreet - Buried","St Olave Hartstreet - Plague","St Olave Jewry - Buried","St Olave Jewry - Plague","St Olave Silverstreet - Buried","St Olave Silverstreet - Plague","St Pancras Soperlane - Buried","St Pancras Soperlane - Plague","St Peter Cheap - Buried","St Peter Cheap - Plague","St Peter Cornhil - Buried","St Peter Cornhil - Plague","St Peter Paulswharf - Buried","St Peter Paulswharf - Plague","St Peter Poor - Buried","St Peter Poor - Plague","St Steven Colemanstreet - Buried","St Steven Colemanstreet - Plague","St Steven Walbrook - Buried","St Steven Walbrook - Plague","St Swithin - Buried","St Swithin - Plague","St Thomas Apostles - Buried","St Thomas Apostles - Plague","Trinity Parish - Buried","Trinity Parish - Plague","St Foster - Buried","St Foster - Plague","Christened in the 97 Parishes within the Walls","Buried in the 97 Parishes within the Walls","Plague in the 97 Parishes within the Walls","St Andrew Holborn - Buried","St Andrew Holborn - Plague","St Bartholomew Great - Buried","St Bartholomew Great - Plague","St Bartholomew Less - Buried","St Bartholomew Less - Plague","St Bridget - Buried","St Bridget - Plague","Bridewel Precinct - Buried","Bridewel Precinct - Plague","St Botolph Aldersgate - Buried","St Botolph Aldersgate - Plague","St Botolph Aldgate - Buried","St Botolph Aldgate - Plague","St Botolph Bishopsgate - Buried","St Botolph Bishopsgate - Plague","St Dunstan West - Buried","St Dunstan West - Plague","St George Southwark - Buried","St George Southwark - Plague","St Giles Cripplegate - Buried","St Giles Cripplegate - Plague","St Olave Southwark - Buried","St Olave Southwark - Plague","Saviours Southwark - Buried","Saviours Southwark - Plague","S Sepulchres Parish - Buried","S Sepulchres Parish - Plague","St Thomas Southwark - Buried","St Thomas Southwark - Plague","Trinity Minories - Buried","Trinity Minories - Plague","Pesthouse Without the Walls - Buried","Pesthouse Without the Walls - Plague","Christened in the parishes without the Walls","Buried in the parishes without the Walls","Plague in the parishes without the Walls","Christ Church in Surry - Buried","Christ Church in Surry - Plague","Stepney Parish - Buried","Stepney Parish - Plague","St Giles in the Field - Buried","St Giles in the Field - Plague","St James Clerkenwel - Buried","St James Clerkenwel - Plague","Hackney Parish - Buried","Hackney Parish - Plague","St John at Wapping - Buried","St John at Wapping - Plague","St Katharine Tower - Buried","St Katharine Tower - Plague","Lambeth Parish - Buried","Lambeth Parish - Plague","St Leonard Shoreditch - Buried","St Leonard Shoreditch - Plague","St Mary Islington - Buried","St Mary Islington - Plague","St Magdalen Bermondsey - Buried","St Magdalen Bermondsey - Plague","St Mary Newington - Buried","St Mary Newington - Plague","St Mary Whitechappel - Buried","St Mary Whitechappel - Plague","St Pauls Shadwel - Buried","St Pauls Shadwel - Plague","Rothorith Parish - Buried","Rothorith Parish - Plague","Christened in the out-Parishes in Middlesex and Surrey","Buried in the out-Parishes in Middlesex and Surrey","Plague in the out-Parishes in Middlesex and Surrey","St Ann in Westminster - Buried","St Ann in Westminster - Plague","St Clement Danes - Buried","St Clement Danes - Plague","St James in Westminster - Buried","St James in Westminster - Plague","St Margaret Westminster - Buried","St Margaret Westminster - Plague","St Martin in the fields - Buried","St Martin in the fields - Plague","St Mary Savoy - Buried","St Mary Savoy - Plague","St Paul Covent Garden - Buried","St Paul Covent Garden - Plague","Pesthouse in Westminster - Buried","Pesthouse in Westminster - Plague","Christened in the Parishes and Liberties of Westminster","Buried in the Parishes and Liberties of Westminster","Plague in the Parishes and Liberties of Westminster"
32845,25144,4863,1,1697,43,BL-1697-43-recto,5,October,12,October,,,3,,1,,1,,,,3,,2,,,,2,,,,1,,2,,1,,,,,,,,,,2,,,,,,,,,,2,,6,,,,,,1,,2,,,,2,,,,,,,,2,,,,,,1,,,,,,1,,2,,1,,1,,,,,,,,1,,,,,,,,2,,,,1,,,,,,,,1,,,,,,,,,,1,,2,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,1,,,,,,,,47,54,0,16,,2,,1,,6,,,,4,,8,,18,,4,,5,,23,,13,,9,,8,,2,,2,,,,106,121,0,1,,44,,21,,5,,,,8,,6,,5,,6,,2,,6,,4,,13,,8,,2,,109,131,0,8,,8,,14,,13,,33,,,,6,,,,66,82,0
32846,25145,4864,1,1697,44,BL-1697-44-recto,12,October,19,October,,,2,,,,3,,,,1,,1,,,,,,1,,,,,,,,1,,2,,,,2,,,,,,,,1,,,,1,,1,,,,1,,,,1,,1,,,,,,,,,,1,,,,1,,1,,,,1,,,,,,2,,2,,1,,1,,,,,,1,,1,,,,,,,,,,1,,,,2,,1,,1,,3,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,2,,1,,,,1,,,,3,,,,,,1,,,,,,,,1,,,,41,55,,16,,2,,,,6,,,,3,,13,,,,5,,12,,25,,9,,8,,5,,5,,,,,,87,109,0,1,,34,,18,,6,,4,,4,,1,,4,,8,,,,7,,3,,9,,8,,1,,96,108,0,6,,12,,19,,13,,17,,2,,3,,,,61,72,0
32847,25146,4889,1,1697,45,BL-1697-45-recto,19,October,26,October,,,5,,,,,,,,,,,,,,1,,,,1,,3,,2,,1,,4,,,,,,,,1,,,,,,,,1,,,,1,,,,1,,2,,,,,,1,,,,,,3,,1,,,,1,,,,,,,,,,2,,2,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,2,,1,,,,2,,,,1,,,,,,,,2,,,,,,1,,1,,1,,,,,,2,,,,,,1,,,,,,40,53,0,21,,2,,,,2,,1,,2,,12,,18,,5,,12,,26,,12,,9,,11,,2,,,,,,110,135,0,,,37,,23,,6,,,,8,,,,3,,10,,,,6,,4,,12,,9,,2,,110,120,0,6,,12,,19,,15,,18,,3,,3,,,,57,76,0
32848,25147,4890,1,1697,46,BL-1697-46-recto,26,October,2,November,,,1,,,,1,,,,,,1,,,,1,,,,,,3,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,2,,4,,1,,1,,,,,,,,1,,,,,,3,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,1,,,,1,,,,2,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,1,,,,,,,,3,,2,,,,,,,,,,3,,1,,,,2,,,,,,38,47,,13,,2,,,,6,,,,2,,11,,10,,3,,9,,17,,9,,13,,7,,2,,,,,,95,104,0,3,,39,,13,,10,,2,,5,,3,,5,,10,,,,2,,6,,12,,10,,3,,104,123,0,10,,5,,17,,15,,24,,1,,6,,,,57,78,0
32849,25148,4891,1,1697,47,BL-1697-47-recto,2,November,9,November,1,,3,,,,,,,,,,1,,2,,2,,1,,,,1,,,,,,4,,,,,,,,,,,,,,1,,,,6,,,,,,1,,1,,,,,,3,,1,,,,1,,1,,,,,,,,,,,,1,,5,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,1,,1,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,2,,,,,,,,,,40,55,,14,,2,,,,3,,1,,1,,6,,18,,5,,5,,18,,12,,15,,10,,2,,1,,,,100,118,0,2,,29,,11,,3,,1,,4,,1,,5,,9,,2,,11,,1,,12,,6,,1,,105,104,0,12,,8,,17,,14,,22,,,,4,,,,64,77,0
32850,25149,4892,1,1697,48,BL-1697-48-recto,9,November,16,November,,,4,,,,,,,,,,,,,,,,1,,,,,,1,,,,2,,,,,,1,,,,,,,,,,,,6,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,3,,2,,1,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,40,37,,15,,1,,,,,,,,3,,12,,8,,6,,9,,28,,11,,6,,16,,3,,,,,,102,118,0,1,,26,,22,,,,2,,7,,4,,2,,8,,,,7,,3,,14,,14,,1,,99,111,0,12,,10,,14,,14,,27,,,,,,,,70,77,0
32851,25150,4893,1,1697,49,BL-1697-49-recto,16,November,23,November,1,,1,,,,4,,,,2,,2,,,,1,,,,2,,2,,,,1,,3,,,,1,,,,1,,,,1,,,,1,,3,,,,,,,,5,,1,,,,1,,,,,,1,,1,,,,1,,1,,,,1,,1,,1,,,,,,1,,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,2,,,,1,,,,1,,3,,,,1,,,,,,1,,,,1,,1,,,,,,1,,,,,,,,,,2,,,,2,,,,,,,,1,,,,4,,,,1,,1,,,,,,48,69,0,20,,,,,,3,,2,,,,11,,8,,2,,7,,31,,17,,9,,9,,2,,3,,,,101,124,0,4,,46,,20,,15,,,,9,,2,,,,7,,1,,10,,5,,14,,11,,3,,123,147,0,10,,6,,15,,14,,43,,1,,3,,,,76,92,0
32882,25151,4903,1,1697,50,BL-1697-50-recto,23,November,30,November,,,1,,1,,1,,,,1,,,,,,3,,,,,,2,,,,,,4,,1,,,,2,,,,,,1,,,,,,6,,,,,,,,6,,,,,,1,,,,,,2,,1,,,,,,3,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,2,,,,,,2,,,,,,1,,,,1,,,,,,,,4,,1,,,,1,,2,,,,,,1,,2,,,,1,,,,1,,,,40,67,0,17,,1,,,,7,,1,,3,,17,,12,,3,,7,,27,,17,,8,,12,,2,,1,,,,107,135,0,3,,74,,29,,,,3,,10,,,,5,,8,,2,,9,,5,,13,,8,,5,,100,176,0,13,,18,,22,,12,,1,,,,7,,,,76,93,0
32883,25152,4912,1,1697,51,BL-1697-51-recto,30,November,7,December,2,,,,5,,,,,,,,,,1,,1,,,,,,,,1,,1,,1,,,,,,,,1,,1,,2,,,,,,1,,1,,,,,,3,,,,1,,2,,,,,,4,,3,,,,1,,2,,,,1,,2,,1,,3,,1,,,,3,,3,,,,,,,,2,,,,,,,,,,2,,,,2,,1,,,,,,,,1,,,,3,,,,,,,,,,,,1,,,,1,,,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,2,,1,,,,,,,,,,56,71,,16,,1,,,,8,,,,1,,9,,11,,3,,3,,34,,16,,13,,22,,1,,,,,,103,138,0,5,,33,,13,,12,,4,,8,,5,,5,,8,,2,,9,,4,,16,,10,,3,,111,137,0,11,,4,,21,,20,,33,,4,,4,,,,86,97,0
32884,25153,4813,1,1697,52,BL-1697-52-recto,7,December,14,December,,,1,,,,,,,,,,2,,,,4,,1,,,,1,,,,1,,3,,1,,1,,,,,,,,,,,,1,,7,,,,,,1,,1,,,,,,,,,,,,2,,1,,,,1,,1,,,,,,2,,3,,,,1,,1,,1,,2,,,,,,,,1,,1,,2,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,1,,,,1,,1,,,,,,2,,,,,,,,,,,,1,,,,,,,,2,,1,,1,,,,,,,,,,,,2,,,,,,1,,,,,,45,60,,16,,2,,5,,9,,,,6,,18,,12,,7,,8,,30,,48,,15,,22,,1,,,,,,114,179,0,3,,43,,28,,9,,,,4,,7,,5,,4,,3,,12,,5,,9,,9,,5,,99,146,0,7,,22,,30,,26,,27,,4,,6,,,,84,122,0
32885,25154,4814,1,1697,1,BL-1697-01-recto,14,December,21,December,,,1,,,,,,,,,,,,2,,5,,,,,,,,,,,,5,,,,1,,,,,,,,,,,,1,,3,,,,1,,2,,2,,,,,,1,,,,,,,,2,,,,3,,,,,,,,2,,5,,2,,,,,,2,,,,1,,,,,,2,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,1,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,3,,1,,,,,,,,2,,55,63,0,23,,2,,,,11,,3,,2,,8,,12,,8,,11,,30,,16,,13,,9,,,,1,,,,111,149,0,3,,34,,22,,8,,4,,7,,4,,4,,13,,4,,4,,1,,19,,6,,8,,89,141,0,10,,13,,32,,18,,28,,2,,4,,,,69,107,0
32886,25155,4815,1,1697,2,BL-1697-02-recto,21,December,28,December,,,1,,1,,,,,,,,1,,1,,1,,,,,,1,,,,,,,,1,,,,1,,1,,,,2,,,,,,3,,,,,,,,4,,,,,,1,,,,1,,2,,,,,,1,,,,,,,,2,,1,,1,,,,,,,,2,,,,1,,,,,,,,2,,,,,,,,2,,2,,1,,,,,,,,1,,,,2,,,,1,,,,,,1,,1,,1,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,1,,41,51,,23,,,,1,,5,,,,5,,12,,12,,1,,6,,14,,10,,6,,12,,1,,,,,,99,108,0,3,,43,,28,,15,,3,,4,,7,,8,,7,,1,,5,,7,,17,,9,,1,,107,158,0,7,,7,,26,,22,,21,,3,,3,,,,47,89,0
32887,25156,4816,1,1697,3,BL-1697-03-recto,28,December,4,January,,,,,,,2,,,,,,1,,,,2,,3,,1,,,,2,,,,3,,1,,,,,,,,,,,,,,,,3,,,,,,1,,2,,,,,,,,,,1,,1,,1,,2,,,,,,,,,,3,,1,,1,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,2,,,,,,,,,,,,,,2,,,,,,1,,1,,2,,,,1,,2,,,,,,,,,,2,,1,,,,,,,,,,1,,,,1,,2,,,,,,,,,,,,29,54,0,10,,2,,2,,7,,,,7,,9,,11,,,,3,,25,,9,,5,,6,,3,,,,,,102,99,0,2,,34,,30,,12,,,,7,,5,,4,,5,,,,3,,3,,14,,6,,,,110,125,0,4,,9,,14,,17,,19,,3,,2,,,,43,68,0
32888,25157,4817,1,1697,4,BL-1697-04-recto,4,January,11,January,1,,2,,,,1,,,,,,,,,,,,1,,,,1,,1,,,,1,,,,,,1,,,,1,,3,,,,1,,4,,,,2,,,,,,,,,,1,,,,,,1,,,,,,2,,1,,,,,,1,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,3,,,,1,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,29,44,0,24,,1,,,,6,,,,3,,20,,9,,2,,5,,20,,19,,6,,11,,1,,,,,,117,127,0,3,,39,,23,,8,,2,,4,,3,,5,,6,,2,,6,,3,,12,,10,,6,,97,132,0,7,,9,,29,,17,,22,,2,,6,,,,56,82,0
32889,25158,4818,1,1697,5,BL-1697-05-recto,11,January,18,January,1,,1,,,,,,,,,,1,,4,,,,,,,,1,,1,,1,,4,,,,,,,,1,,1,,4,,,,,,,,1,,,,,,,,1,,,,,,,,,,5,,3,,1,,,,1,,1,,,,1,,4,,2,,,,,,,,3,,,,,,,,1,,,,2,,1,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,5,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,42,63,,21,,3,,1,,5,,,,4,,11,,10,,2,,9,,30,,9,,7,,8,,3,,1,,,,100,124,0,4,,32,,29,,10,,4,,4,,8,,5,,3,,1,,8,,5,,14,,9,,5,,105,141,0,3,,11,,21,,14,,26,,2,,6,,,,54,83,0
32890,25159,4819,1,1697,6,BL-1697-06-recto,18,January,25,January,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,1,,4,,,,1,,,,,,,,2,,,,,,4,,,,,,,,3,,,,,,1,,,,,,1,,,,,,3,,,,,,,,1,,1,,1,,1,,,,2,,,,1,,,,,,1,,,,,,,,,,,,,,2,,1,,,,,,,,1,,,,,,,,2,,2,,,,1,,1,,2,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4,,2,,,,4,,,,1,,,,,,,,50,58,,18,,,,,,4,,3,,7,,12,,9,,1,,4,,28,,23,,6,,10,,2,,1,,,,104,128,0,4,,44,,32,,3,,,,7,,1,,6,,8,,2,,11,,6,,18,,5,,,,112,147,0,10,,5,,23,,23,,36,,2,,3,,,,85,102,0
32891,25160,4820,1,1697,7,BL-1697-07-recto,25,January,1,February,1,,,,,,2,,,,,,,,,,1,,,,,,2,,1,,1,,2,,1,,,,,,,,,,1,,,,,,6,,1,,,,,,3,,1,,1,,2,,,,,,2,,2,,,,2,,2,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,1,,2,,,,1,,,,1,,,,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,3,,1,,,,1,,,,,,1,,,,3,,1,,,,,,,,1,,,,,,6,,1,,1,,1,,1,,,,42,70,0,23,,2,,1,,6,,,,4,,7,,9,,4,,12,,17,,11,,14,,8,,3,,1,,,,109,122,0,4,,29,,34,,6,,,,12,,7,,1,,6,,3,,5,,4,,12,,12,,5,,115,140,0,7,,13,,24,,17,,31,,1,,3,,,,48,96,0
32922,25161,4821,1,1697,8,BL-1697-08-recto,1,February,8,February,1,,,,,,1,,,,,,2,,,,2,,,,,,1,,1,,1,,2,,,,,,,,1,,,,1,,,,,,2,,,,,,,,,,,,1,,2,,1,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,2,,,,,,,,,,1,,,,,,1,,,,,,2,,,,,,1,,1,,,,,,,,1,,,,1,,2,,,,,,,,,,1,,2,,4,,,,,,,,,,,,37,47,0,16,,1,,,,2,,1,,7,,13,,7,,2,,5,,25,,18,,7,,21,,2,,,,,,102,127,0,2,,39,,27,,6,,1,,10,,1,,5,,6,,1,,4,,3,,12,,7,,3,,99,127,0,9,,11,,15,,17,,35,,2,,7,,,,70,96,0
32923,25162,4822,1,1697,9,BL-1697-09-recto,8,February,15,February,,,1,,,,2,,,,1,,,,,,,,1,,1,,,,,,,,3,,,,,,1,,1,,,,,,,,,,7,,,,,,1,,1,,1,,,,,,,,,,2,,,,1,,,,,,,,1,,1,,,,2,,,,,,,,3,,1,,,,,,1,,,,,,1,,,,3,,1,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,1,,,,,,1,,4,,42,55,,16,,1,,1,,5,,3,,6,,8,,10,,1,,7,,13,,11,,10,,19,,1,,,,,,100,112,0,1,,32,,28,,6,,3,,3,,8,,4,,8,,3,,10,,2,,10,,17,,,,115,135,0,10,,8,,25,,9,,32,,2,,3,,,,74,89,0
32924,25163,4823,1,1697,10,BL-1697-10-recto,15,February,22,February,,,2,,2,,,,,,,,,,2,,1,,2,,,,,,,,1,,5,,,,,,,,,,,,1,,,,,,2,,,,,,,,1,,,,,,,,,,,,1,,1,,1,,1,,,,,,,,2,,6,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,2,,,,,,,,,,,,,,1,,3,,1,,,,1,,1,,2,,38,50,,18,,1,,1,,5,,,,4,,8,,11,,4,,6,,14,,12,,7,,11,,,,2,,,,78,104,0,2,,43,,22,,12,,4,,8,,6,,6,,6,,2,,11,,2,,16,,11,,6,,119,157,0,9,,15,,24,,13,,30,,1,,9,,,,77,101,0
32925,25164,4824,1,1697,11,BL-1697-11-recto,22,February,1,March,1,,,,,,,,,,1,,2,,2,,3,,2,,,,1,,1,,1,,2,,1,,,,,,,,,,,,,,,,2,,,,,,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,1,,,,,,1,,,,1,,,,1,,1,,,,,,,,,,,,2,,,,,,,,,,2,,,,1,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,3,,3,,1,,2,,,,,,1,,36,51,,19,,2,,,,8,,1,,4,,11,,4,,4,,3,,27,,14,,5,,13,,2,,,,,,92,117,0,3,,41,,26,,8,,1,,3,,3,,7,,6,,1,,7,,5,,7,,10,,3,,98,131,0,9,,4,,19,,25,,47,,6,,6,,,,56,116,0
32926,25165,4825,1,1697,12,BL-1697-12-recto,1,March,8,March,,,,,1,,1,,,,1,,,,2,,3,,2,,,,1,,1,,,,1,,,,,,1,,,,,,5,,,,,,3,,,,,,1,,1,,,,1,,1,,,,,,1,,,,1,,,,,,,,1,,1,,2,,4,,,,,,1,,2,,1,,,,,,,,,,,,,,,,,,4,,,,,,3,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,1,,3,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,1,,,,,,,,,,1,,52,57,,16,,5,,,,7,,,,3,,9,,14,,5,,6,,15,,8,,9,,12,,1,,,,,,87,110,0,3,,28,,25,,9,,2,,2,,2,,3,,8,,2,,4,,4,,14,,10,,4,,105,120,0,11,,8,,17,,20,,32,,1,,4,,,,72,103,0
32927,25166,4826,1,1697,13,BL-1697-13-recto,8,March,15,March,,,7,,,,2,,,,,,,,1,,,,3,,,,3,,1,,2,,,,,,,,1,,,,,,,,,,,,4,,1,,1,,1,,1,,1,,1,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,2,,3,,2,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,1,,,,,,2,,3,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,1,,,,,,,,,,2,,42,61,,21,,2,,,,9,,,,5,,12,,16,,6,,8,,21,,12,,11,,13,,1,,1,,,,107,138,0,2,,43,,28,,6,,1,,7,,2,,2,,10,,5,,7,,2,,11,,7,,3,,113,136,0,10,,9,,25,,14,,22,,1,,9,,,,71,90,0
32928,25167,4827,1,1697,14,BL-1697-14-recto,15,March,22,March,,,,,1,,1,,,,1,,2,,,,3,,,,,,2,,1,,2,,6,,,,,,,,,,,,,,,,1,,3,,1,,,,,,1,,,,1,,,,2,,,,,,,,1,,,,1,,,,,,,,,,1,,,,1,,,,2,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,1,,,,2,,2,,,,,,,,1,,1,,2,,,,,,2,,2,,3,,2,,,,2,,1,,,,1,,47,66,,20,,1,,1,,5,,1,,5,,12,,10,,1,,5,,19,,13,,6,,14,,2,,,,,,100,115,0,1,,28,,31,,7,,3,,6,,3,,6,,12,,4,,12,,4,,19,,10,,4,,129,150,0,6,,8,,23,,18,,32,,1,,9,,,,70,97,0
